source_id,source_lat,source_lng,target_id,target_lat,target_lng,publication_year,weight
https://openalex.org/I32625721,52.13238,-106.66892,https://openalex.org/I1294671590,48.85341,2.3488,2013,1.0
https://openalex.org/I32625721,52.13238,-106.66892,https://openalex.org/I58918642,42.697509765625,23.32415008544922,2013,1.0
https://openalex.org/I32625721,52.13238,-106.66892,https://openalex.org/I184856343,53.04664,-2.99132,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I5023651,45.50884,-73.58781,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I1331897569,45.411170959472656,-75.6981201171875,2013,1.0
https://openalex.org/I1292875679,-35.28346,149.12807,https://openalex.org/I5023651,45.50884,-73.58781,2013,1.0
https://openalex.org/I1292875679,-35.28346,149.12807,https://openalex.org/I1331897569,45.411170959472656,-75.6981201171875,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I135310074,43.07305,-89.40123,2013,1.0
https://openalex.org/I1292875679,-35.28346,149.12807,https://openalex.org/I135310074,43.07305,-89.40123,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I193662353,52.09083,5.12222,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I134820265,40.4165,-3.70256,2013,1.0
https://openalex.org/I1292875679,-35.28346,149.12807,https://openalex.org/I193662353,52.09083,5.12222,2013,1.0
https://openalex.org/I1292875679,-35.28346,149.12807,https://openalex.org/I134820265,40.4165,-3.70256,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I32625721,52.13238,-106.66892,2013,1.0
https://openalex.org/I1292875679,-35.28346,149.12807,https://openalex.org/I32625721,52.13238,-106.66892,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I130828816,53.79648,-1.54785,2013,1.0
https://openalex.org/I1292875679,-35.28346,149.12807,https://openalex.org/I130828816,53.79648,-1.54785,2013,1.0
https://openalex.org/I4210166208,-34.94594955444336,138.53330993652344,https://openalex.org/I1331897569,45.411170959472656,-75.6981201171875,2013,1.0
