name,country,score_2005,score_2025
Max Planck Institute for Gravitational Physics,DE,59,-1817
University of Birmingham,GB,3,-985
University of Illinois Urbana-Champaign,US,267,-542
"University of Maryland, College Park",US,-65,699
The University of Tokyo,JP,-233,467
Center for Astrophysics Harvard & Smithsonian,US,-189,441
West Virginia University,US,-464,145
Cardiff University,GB,-98,508
Observatoire de Paris,FR,382,-205
Perimeter Institute,CA,-17,559
Universität Hamburg,DE,3,-550
National Astronomical Observatory of Japan,JP,-16,489
Université Paris Cité,FR,-31,461
Institute of Theoretical Physics,CN,-62,389
Chinese Academy of Sciences,CN,-166,265
University of Wisconsin–Milwaukee,US,-93,334
Jet Propulsion Laboratory,US,-24,396
Laboratoire AstroParticule et Cosmologie,FR,-31,380
University of Geneva,CH,-35,361
Kyoto University,JP,-5,390
Washington University in St. Louis,US,-72,296
Commonwealth Scientific and Industrial Research Organisation,AU,-43,273
University of Bologna,IT,66,-249
Goethe University Frankfurt,DE,-269,45
Frankfurt Institute for Advanced Studies,DE,-205,91
Université Paris-Saclay,FR,-59,221
Australian National University,AU,45,-229
Swinburne University of Technology,AU,-117,146
University of Guelph,CA,-20,224
Los Alamos National Laboratory,US,-142,95
Institute of Astronomy,RU,-22,190
University of Sydney,AU,-97,91
Scuola Internazionale Superiore di Studi Avanzati,IT,-77,107
McGill University,CA,-5,168
Netherlands Institute for Radio Astronomy,NL,-7,160
"Istituto Nazionale di Fisica Nucleare, Sezione di Catania",IT,-89,68
University of Bonn,DE,-34,115
"Istituto Nazionale di Fisica Nucleare, Sezione di Napoli",IT,27,-121
Technion – Israel Institute of Technology,IL,14,-125
University of Hong Kong,HK,22,-111
National Research Nuclear University MEPhI,RU,-50,82
Inter-University Centre for Astronomy and Astrophysics,IN,5,-122
Osservatorio Astronomico di Cagliari,IT,49,-73
University of Waterloo,CA,-35,80
"Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali del Gran Sasso",IT,8,-106
Ulugh Beg Astronomical Institute,UZ,-55,56
University of British Columbia,CA,-108,1
Fudan University,CN,-47,60
University of Washington,US,93,-14
Institut National de Physique Nucléaire et de Physique des Particules,FR,15,-86
University of Florida,US,-81,14
University of Wisconsin–Madison,US,16,-74
The University of Melbourne,AU,-39,51
Kavli Institute for Particle Astrophysics and Cosmology,US,-46,36
Université Claude Bernard Lyon 1,FR,-26,52
Seoul National University,KR,-25,41
University of Manchester,GB,41,-19
Universidad de Salamanca,ES,3,-43
Tokyo University of Science,JP,26,-18
University of Tübingen,DE,35,-4
"Istituto Nazionale di Fisica Nucleare, Sezione di Padova",IT,-3,31
Radboud University Nijmegen,NL,1,-25
"University of California, Santa Barbara",US,-16,1
