domain,year,total_edges,cross_border,countries,cross_ratio
LHC,2005,9531,7707,64,0.8086244885111741
LHC,2006,9529,7819,64,0.8205478014482107
LHC,2007,11344,9116,63,0.8035966149506347
LHC,2008,11838,9661,73,0.8161006926845751
LHC,2009,13076,10682,71,0.816916488222698
LHC,2010,13440,11126,71,0.827827380952381
LHC,2011,14146,11779,82,0.8326735472925209
LHC,2012,14936,12331,88,0.8255891805034815
LHC,2013,15609,13120,80,0.8405407136908194
LHC,2014,17279,14235,83,0.8238323977082007
LHC,2015,17792,14755,80,0.8293053057553957
LHC,2016,20287,16660,87,0.821215556760487
LHC,2017,21344,17256,82,0.8084707646176912
LHC,2018,21874,17401,89,0.7955106519155162
LHC,2019,23951,19314,92,0.8063963926349631
LHC,2020,25867,20802,95,0.8041906676460355
LHC,2021,27178,22190,100,0.816469203031864
LHC,2022,27462,22055,108,0.8031097516568348
LHC,2023,26471,20760,105,0.7842544671527332
LHC,2024,25224,19681,102,0.7802489692356486
LHC,2025,25251,19323,101,0.7652370203160271
Gravitational Waves,2005,13205,10774,72,0.8159030670200682
Gravitational Waves,2006,15347,12561,79,0.8184661497361048
Gravitational Waves,2007,15370,12735,75,0.8285621340273259
Gravitational Waves,2008,16961,14066,75,0.8293143092978008
Gravitational Waves,2009,18873,15868,78,0.8407778307635246
Gravitational Waves,2010,21188,17794,84,0.8398149896167642
Gravitational Waves,2011,20532,17139,80,0.8347457627118644
Gravitational Waves,2012,23869,20090,90,0.841677489630902
Gravitational Waves,2013,26385,22362,91,0.8475270039795338
Gravitational Waves,2014,30795,26395,92,0.8571196622828381
Gravitational Waves,2015,33167,28647,98,0.8637199626134411
Gravitational Waves,2016,37857,32344,92,0.8543730353699448
Gravitational Waves,2017,39398,33894,95,0.8602974770292908
Gravitational Waves,2018,43058,37072,95,0.8609782154303498
Gravitational Waves,2019,48614,41994,98,0.86382523552886
Gravitational Waves,2020,48973,42527,96,0.8683764523308762
Gravitational Waves,2021,55215,47919,101,0.8678619940233632
Gravitational Waves,2022,62667,55085,103,0.8790112818548838
Gravitational Waves,2023,61471,54103,104,0.8801386019423794
Gravitational Waves,2024,62887,55561,105,0.8835053349658912
Gravitational Waves,2025,57178,50442,106,0.88219245164224
Complex Network Analysis,2005,11004,8401,74,0.7634496546710288
Complex Network Analysis,2006,13293,10594,85,0.7969608064394794
Complex Network Analysis,2007,15567,12158,86,0.7810111132523929
Complex Network Analysis,2008,16908,13249,78,0.7835935651762479
Complex Network Analysis,2009,18137,14111,91,0.7780228262667476
Complex Network Analysis,2010,22213,17608,97,0.7926889659208571
Complex Network Analysis,2011,22943,17860,97,0.7784509436429412
Complex Network Analysis,2012,24528,19498,90,0.794928245270711
Complex Network Analysis,2013,26345,21133,104,0.8021635984057696
Complex Network Analysis,2014,28421,23017,98,0.8098589071461243
Complex Network Analysis,2015,30207,24575,108,0.8135531499321349
Complex Network Analysis,2016,33519,27616,110,0.8238909275336377
Complex Network Analysis,2017,36920,30723,109,0.8321505958829902
Complex Network Analysis,2018,38543,31701,107,0.8224839789326207
Complex Network Analysis,2019,40640,33597,118,0.8266978346456693
Complex Network Analysis,2020,42493,35218,112,0.8287953309956934
Complex Network Analysis,2021,43617,35529,123,0.8145677144232754
Complex Network Analysis,2022,45737,37194,126,0.8132146839539104
Complex Network Analysis,2023,44091,35433,118,0.8036333945703205
Complex Network Analysis,2024,43803,34138,123,0.7793530123507523
Complex Network Analysis,2025,40464,31237,122,0.7719701463028865
Magnetic Thin Films,2005,16751,13676,70,0.8164288699182138
Magnetic Thin Films,2006,16888,13794,72,0.8167929891046897
Magnetic Thin Films,2007,19624,16177,71,0.8243477374643294
Magnetic Thin Films,2008,20729,17181,71,0.8288388248347726
Magnetic Thin Films,2009,21404,17718,68,0.8277891982806952
Magnetic Thin Films,2010,23253,19440,78,0.8360211585601858
Magnetic Thin Films,2011,23870,20099,81,0.8420192710515291
Magnetic Thin Films,2012,26025,21858,77,0.8398847262247838
Magnetic Thin Films,2013,29431,25156,87,0.854744996772111
Magnetic Thin Films,2014,30114,25918,84,0.86066281463771
Magnetic Thin Films,2015,32189,27380,81,0.8506011370343907
Magnetic Thin Films,2016,37509,31893,87,0.8502759337758938
Magnetic Thin Films,2017,38934,33683,81,0.8651307340627729
Magnetic Thin Films,2018,40299,35023,90,0.8690786371870269
Magnetic Thin Films,2019,43273,37398,90,0.8642340489450697
Magnetic Thin Films,2020,44837,38750,91,0.864241586189977
Magnetic Thin Films,2021,47453,41376,95,0.8719364423745601
Magnetic Thin Films,2022,49174,42286,100,0.8599259771423923
Magnetic Thin Films,2023,49052,42553,100,0.867507950746147
Magnetic Thin Films,2024,50361,43680,102,0.8673378209328647
Magnetic Thin Films,2025,53553,45606,106,0.8516049521035236
