name,country,score_2005,score_2025
Centre National de la Recherche Scientifique,FR,-666,2885
The University of Tokyo,JP,-196,872
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,-111,921
CEA Grenoble,FR,-93,856
National University of Singapore,SG,-153,644
Spintronique et Technologie des Composants,FR,-151,560
Université Grenoble Alpes,FR,-33,667
Institute of Physics,CN,-157,501
University of Leeds,GB,-481,86
Max Planck Institute of Microstructure Physics,DE,-32,500
Radboud University Nijmegen,NL,-3,358
Tohoku University,JP,248,-96
Lawrence Berkeley National Laboratory,US,-120,158
Argonne National Laboratory,US,-48,226
National Institute of Advanced Industrial Science and Technology,JP,-16,254
Sorbonne Université,FR,36,-229
Peking University,CN,6,-240
The Ohio State University,US,-6,201
University of Nebraska–Lincoln,US,-39,165
University of York,GB,-62,135
Charles University,CZ,-24,167
KU Leuven,BE,-123,63
National Institute for Materials Science,JP,-27,146
Norwegian University of Science and Technology,NO,-22,118
Lomonosov Moscow State University,RU,8,-126
Politecnico di Milano,IT,-87,45
Stanford Synchrotron Radiation Lightsource,US,69,-63
University of Washington,US,-6,125
Universität Hamburg,DE,-57,70
Leibniz Institute for Solid State and Materials Research,DE,-44,78
Korea University,KR,-56,64
ETH Zurich,CH,50,-69
Taras Shevchenko National University of Kyiv,UA,-51,66
Institute of Radio-Engineering and Electronics,RU,-14,90
University of Twente,NL,-55,47
National Academy of Sciences of Ukraine,UA,-25,77
Oakland University,US,-68,33
University of Ferrara,IT,2,-97
University of the Basque Country,ES,-29,65
University of Glasgow,GB,20,-73
Paul Scherrer Institute,CH,18,-72
Brookhaven National Laboratory,US,49,-32
Pohang University of Science and Technology,KR,-4,74
Universidad de Oviedo,ES,3,-73
University of Alabama,US,-19,50
"Institute for Materials Research, Tohoku University",,-18,48
Ames National Laboratory,US,-14,35
Texas A&M University,US,-44,4
Comisión Nacional de Energía Atómica,AR,16,-31
CEA Paris-Saclay,FR,-23,19
Arizona State University,US,-35,5
Universidad de Zaragoza,ES,-30,8
RWTH Aachen University,DE,20,-11
National Yang Ming Chiao Tung University,TW,-10,14
University of Utah,US,5,-17
Universidade Federal de Pernambuco,BR,17,-3
National Taiwan University,TW,-18,1
