name,country,score_2005,score_2025
University of Electronic Science and Technology of China,CN,-69,406
Universidade do Porto,PT,377,-73
Tsinghua University,CN,-111,310
Massachusetts Institute of Technology,US,-142,215
Centre National de la Recherche Scientifique,FR,-121,232
Carnegie Mellon University,US,-44,288
Indiana University Bloomington,US,-128,201
Shanghai Jiao Tong University,CN,-149,171
"University of California, San Diego",US,-32,229
Chinese Academy of Sciences,CN,-78,178
Universitat Rovira i Virgili,ES,-18,223
University of Oxford,GB,-40,197
Nanyang Technological University,SG,-73,132
Arizona State University,US,-60,115
Sapienza University of Rome,IT,22,-146
Universidade de São Paulo,BR,-71,76
"University of Maryland, College Park",US,-48,92
University of Florida,US,-68,70
Pennsylvania State University,US,-96,40
California Institute of Technology,US,-125,9
University of Manchester,GB,12,-114
East China Normal University,CN,-45,67
University of Warwick,GB,-92,11
Seoul National University,KR,-85,17
University of Southern California,US,-31,64
University of Groningen,NL,-12,78
University of Cambridge,GB,-53,23
Hebrew University of Jerusalem,IL,1,-75
UNSW Sydney,AU,-9,62
Universidad de Zaragoza,ES,-56,13
University of Ljubljana,SI,17,-50
Delft University of Technology,NL,-19,46
University of Amsterdam,NL,-36,27
Budapest University of Technology and Economics,HU,-18,35
Yangzhou University,CN,-43,3
Hong Kong University of Science and Technology,HK,-21,22
University of Wisconsin–Madison,US,7,-32
Osaka University,JP,-36,3
Chinese University of Hong Kong,CN,-21,17
University of Technology Sydney,AU,-15,21
Université Paris-Saclay,FR,13,-20
Huazhong University of Science and Technology,CN,-15,13
Sorbonne Université,FR,-11,17
University of Pisa,IT,-17,7
University of Pittsburgh,US,-6,15
The Ohio State University,US,-1,19
Deakin University,AU,-6,9
Utrecht University,NL,-5,10
University of Nottingham,GB,6,-7
University of Helsinki,FI,3,-5
University of Glasgow,GB,2,-3
