name,country,score_2005,score_2025
Jiangnan University,CN,-129,1409
Wageningen University & Research,NL,-338,951
University of Massachusetts Amherst,US,-193,795
China Agricultural University,CN,-19,802
Centre National de la Recherche Scientifique,FR,-74,446
Universidade Estadual de Campinas (UNICAMP),BR,-165,334
North Carolina State University,US,-228,140
Ghent University,BE,-30,284
ETH Zurich,CH,-47,253
KU Leuven,BE,-108,132
University of Tennessee at Knoxville,US,-131,60
Nestlé (Switzerland),CH,-141,46
University of Hohenheim,DE,-10,176
Le Mans Université,FR,-94,91
University of Guelph,CA,-39,144
University of Wisconsin–Madison,US,-153,11
Université Laval,CA,-30,134
Universidad de Sevilla,ES,-13,120
Prince of Songkla University,TH,-83,49
University of Manitoba,CA,-31,98
National Research Centre,EG,5,-120
Technische Universität Berlin,DE,-21,96
University of Georgia,US,95,-9
Purdue University West Lafayette,US,74,-25
Zhejiang University,CN,-30,68
University of Buenos Aires,AR,-35,50
University of Milan,IT,21,-59
Chinese Academy of Sciences,CN,-16,54
Universidad de Zaragoza,ES,2,-67
Fundación Ciencias Exactas y Naturales,AR,-36,33
University of Kentucky,US,-28,38
Kansas State University,US,30,-22
University of Canterbury,NZ,10,-35
Uppsala University,SE,8,-23
Institute of Chemical Technology,IN,-10,12
Kasetsart University,TH,-7,9
