name,country,score_2005,score_2025
Institut national de recherche en informatique et en automatique,FR,-183,336
Chinese Academy of Sciences,CN,-408,76
Chinese University of Hong Kong,CN,-298,77
Xidian University,CN,-245,113
University of Hong Kong,HK,-304,41
Institute for Infocomm Research,SG,-273,25
Tel Aviv University,IL,-2,259
École Normale Supérieure - PSL,FR,-22,232
University of Wollongong,AU,-186,44
Seoul National University,KR,-115,96
Princeton University,US,-98,85
Georgia Institute of Technology,US,-79,90
"University of Maryland, College Park",US,-47,122
Bar-Ilan University,IL,-39,124
City University of Hong Kong,HK,-54,93
Singapore Management University,SG,-36,108
IBM Research - Zurich,CH,-14,117
University of Chicago,US,43,-82
Orange (France),FR,-70,54
Carnegie Mellon University,US,-29,90
École Polytechnique Fédérale de Lausanne,CH,-63,54
Nanjing Normal University,CN,-79,35
"University of California, Irvine",US,-47,61
École Polytechnique,FR,-78,17
Sun Yat-sen University,CN,-82,13
Siemens (Germany),DE,10,-70
Hong Kong University of Science and Technology,HK,-37,40
City College of New York,US,38,-34
Korea University,KR,-45,25
The University of Texas at Austin,US,-4,61
"University of California, Santa Cruz",US,13,-48
Mitsubishi Electric (Japan),JP,3,-54
Texas A&M University,US,22,-26
ETH Zurich,CH,-34,6
University of Electro-Communications,JP,-21,16
Eindhoven University of Technology,NL,5,-22
George Mason University,US,6,-19
McGill University,CA,-14,11
University of Luxembourg,LU,-11,10
University of Salerno,IT,8,-3
