,name,country,lat,lng
I74801974,The University of Tokyo,JP,35.68949890136719,139.69171142578125
I123044942,Universitat Autònoma de Barcelona,ES,41.4910888671875,2.1407899856567383
I11932220,Institució Catalana de Recerca i Estudis Avançats,ES,41.388790130615234,2.158989906311035
I136199984,Harvard University,US,42.3751,-71.10561
I1294671590,Centre National de la Recherche Scientifique,FR,48.85341,2.3488
I102197404,Université Paris-Sud,FR,48.69572,2.18727
I4210105067,Canon Anelva (Japan),JP,35.57090377807617,139.6491241455078
I1321296531,National Institute of Standards and Technology,US,39.14344024658203,-77.20137023925781
I4210086780,Japan Science and Technology Agency,JP,35.6895,139.69171
I73613424,National Institute of Advanced Industrial Science and Technology,JP,36.06024169921875,140.1331024169922
I86725329,Hitachi Global Storage Technologies (United States),US,37.245750427246094,-121.79351043701172
I86519309,The University of Texas at Austin,US,30.26715,-97.74306
I205783295,Cornell University,US,42.44063,-76.49661
I20121455,Bielefeld University,DE,52.03333,8.53333
I100625452,ON Semiconductor (United States),US,33.4626350402832,-111.9729995727539
I130238516,University of Minnesota,US,44.97997,-93.26384
I1293226324,UNESCO,FR,48.85341,2.3488
I83019370,Eindhoven University of Technology,NL,51.44083,5.47778
I4210108106,Nanomaterials Research (United States),US,40.14672088623047,-105.13908386230469
I1341412227,IBM (United States),US,41.10853958129883,-73.72046661376953
I44461941,University of Houston,US,29.763280868530273,-95.36327362060547
I189712700,University of Konstanz,DE,47.66033172607422,9.175820350646973
I4210126328,IBM Research - Zurich,CH,47.310794830322266,8.544028282165527
I145847075,TU Wien,AT,48.20849,16.37208
I91045830,Texas A&M University,US,30.62798,-96.33441
I3018417779,Leibniz Institute for Solid State and Materials Research,DE,51.0262336730957,13.725025177001953
I63634437,Universidad Autónoma de Madrid,ES,40.4165,-3.70256
I114395901,University of Nebraska–Lincoln,US,40.8,-96.66696
I201537933,Tohoku University,JP,38.26667,140.86667
I4210125833,Spintronics Research Network of Japan,JP,35.6895,139.69171
I65143321,Hitachi (Japan),JP,35.68949890136719,139.69171142578125
I145608581,University of Miami,US,25.72149,-80.26838
