source_id,target_id,publication_year,weight
I72816309,I36075867,2005,1.0
I72816309,I2801948628,2005,1.0
I72816309,I121797337,2005,10.0
I72816309,I63966007,2005,5.0
I72816309,I1308548392,2005,8.0
I72816309,I205783295,2005,13.0
I72816309,I27837315,2005,5.0
I72816309,I1333153716,2005,1.0
I72816309,I118347636,2005,2.0
I72816309,I1296875392,2005,1.0
I72816309,I154570441,2005,1.0
I72816309,I4210145167,2005,1.0
I72816309,I5388228,2005,1.0
I72816309,I12834331,2005,1.0
I72816309,I4210116506,2005,1.0
I72816309,I3131873961,2005,1.0
I72816309,I180297670,2005,1.0
I72816309,I1301626629,2005,1.0
I72816309,I78577930,2005,3.0
I72816309,I202522242,2005,2.0
I72816309,I1339065421,2005,1.0
I72816309,I4210155288,2005,1.0
I72816309,I59433898,2005,10.0
I72816309,I204465549,2005,1.0
I72816309,I138006243,2005,4.0
I72816309,I201448701,2005,1.0
I72816309,I4210156930,2005,1.0
I72816309,I1309849503,2005,1.0
I72816309,I156914199,2005,1.0
I72816309,I148314036,2005,1.0
I72816309,I186143895,2005,3.0
I72816309,I192454743,2005,3.0
I72816309,I130828816,2005,2.0
I72816309,I24603500,2005,2.0
I72816309,I40347166,2005,3.0
I72816309,I4210097218,2005,1.0
I72816309,I1320481043,2005,1.0
I72816309,I32971472,2005,4.0
I72816309,I2801636460,2005,4.0
I72816309,I1325736334,2005,4.0
I72816309,I145311948,2005,4.0
I72816309,I148283060,2005,1.0
I72816309,I95457486,2005,1.0
I72816309,I20089843,2005,1.0
I72816309,I79576946,2005,1.0
I72816309,I39422238,2005,1.0
I72816309,I115475287,2005,4.0
I72816309,I1318687432,2005,4.0
I72816309,I4210133819,2005,4.0
I72816309,I90267481,2005,3.0
I27837315,I173498003,2005,1.0
I27837315,I4401200345,2005,4.0
I27837315,I1302918504,2005,3.0
I27837315,I161318765,2005,4.0
I27837315,I201841394,2005,4.0
I27837315,I1294671590,2005,7.0
I27837315,I205783295,2005,12.0
I27837315,I40036882,2005,1.0
I27837315,I122411786,2005,1.0
I27837315,I4210120482,2005,3.0
I27837315,I182534213,2005,3.0
I27837315,I200870766,2005,4.0
I27837315,I189090001,2005,1.0
I27837315,I197191942,2005,1.0
I27837315,I32021983,2005,3.0
I27837315,I1308548392,2005,15.0
I27837315,I136199984,2005,2.0
I27837315,I20089843,2005,1.0
I27837315,I57664883,2005,1.0
I27837315,I212119943,2005,1.0
I27837315,I62916508,2005,1.0
I27837315,I107639228,2005,10.0
I27837315,I78577930,2005,5.0
I27837315,I115475287,2005,1.0
I27837315,I4210144120,2005,1.0
I27837315,I4210121877,2005,1.0
I27837315,I111088046,2005,4.0
I27837315,I134560555,2005,1.0
I27837315,I196817621,2005,1.0
I27837315,I74973139,2005,3.0
I27837315,I4210110987,2005,1.0
I27837315,I107766831,2005,1.0
I27837315,I1311060795,2005,1.0
I27837315,I2802473995,2005,1.0
I27837315,I2883434090,2005,1.0
I27837315,I151201029,2005,1.0
I27837315,I184937672,2005,1.0
I27837315,I1283103587,2005,2.0
I27837315,I154570441,2005,2.0
I27837315,I2801851002,2005,3.0
I27837315,I32971472,2005,3.0
I27837315,I1343871089,2005,1.0
I27837315,I167360494,2005,2.0
I27837315,I97018004,2005,1.0
I27837315,I1289243028,2005,1.0
I27837315,I4210115618,2005,1.0
I27837315,I171892758,2005,1.0
I27837315,I4210113364,2005,1.0
I27837315,I241749,2005,2.0
I27837315,I63966007,2005,1.0
I27837315,I83399316,2005,1.0
I27837315,I35440088,2005,1.0
I27837315,I5124864,2005,1.0
I27837315,I1324840837,2005,2.0
I27837315,I79619799,2005,1.0
I7597260,I151746483,2005,1.0
I7597260,I1308548392,2005,2.0
I7597260,I205783295,2005,3.0
I7597260,I27837315,2005,3.0
I7597260,I125687163,2005,1.0
I7597260,I107639228,2005,3.0
I7597260,I2613432,2005,1.0
I7597260,I4210163092,2005,1.0
I7597260,I4210166865,2005,1.0
I7597260,I4210099096,2005,1.0
I7597260,I924572780,2005,1.0
I7597260,I53964585,2005,1.0
I7597260,I2802152550,2005,1.0
I7597260,I78577930,2005,1.0
I7597260,I4210119109,2005,1.0
I7597260,I4210089771,2005,1.0
I7597260,I2800229700,2005,1.0
I7597260,I4210092658,2005,1.0
I7597260,I63966007,2005,1.0
I7597260,I97018004,2005,1.0
I7597260,I106118109,2005,2.0
I7597260,I204250578,2005,1.0
