,0
"(2005, ('I53964585', 'I63966007'))",29.0
"(2005, ('I95457486', 'I53964585'))",20.0
"(2005, ('I1341412227', 'I4210126328'))",18.0
"(2005, ('I36258959', 'I63966007'))",17.0
"(2005, ('I97018004', 'I4210126328'))",12.0
"(2006, ('I204337017', 'I174306211'))",13.0
"(2006, ('I204337017', 'I63966007'))",13.0
"(2006, ('I1341412227', 'I4210126328'))",13.0
"(2006, ('I36258959', 'I63966007'))",12.0
"(2006, ('I1341412227', 'I63966007'))",12.0
"(2007, ('I174306211', 'I53964585'))",23.0
"(2007, ('I1341412227', 'I53964585'))",18.0
"(2007, ('I36258959', 'I1341412227'))",14.0
"(2007, ('I1341412227', 'I204337017'))",14.0
"(2007, ('I1341412227', 'I97018004'))",13.0
"(2008, ('I36258959', 'I97018004'))",15.0
"(2008, ('I36258959', 'I1341412227'))",12.0
"(2008, ('I174306211', 'I53964585'))",12.0
"(2008, ('I36672615', 'I57206974'))",12.0
"(2008, ('I1326498283', 'I1294671590'))",11.0
"(2009, ('I16391192', 'I36258959'))",11.0
"(2009, ('I4210126328', 'I1341412227'))",10.0
"(2009, ('I4210126328', 'I145311948'))",10.0
"(2009, ('I57206974', 'I36258959'))",9.0
"(2009, ('I36258959', 'I29607241'))",8.0
"(2010, ('I1326498283', 'I1294671590'))",25.0
"(2010, ('I57206974', 'I53964585'))",18.0
"(2010, ('I53964585', 'I63966007'))",13.0
"(2010, ('I16391192', 'I53964585'))",12.0
"(2010, ('I204337017', 'I35440088'))",12.0
"(2011, ('I1294671590', 'I1326498283'))",19.0
"(2011, ('I1341412227', 'I36258959'))",13.0
"(2011, ('I53964585', 'I36258959'))",12.0
"(2011, ('I53964585', 'I16391192'))",11.0
"(2011, ('I86519309', 'I161318765'))",10.0
"(2012, ('I97018004', 'I36258959'))",17.0
"(2012, ('I86519309', 'I2251713219'))",13.0
"(2012, ('I97018004', 'I63966007'))",13.0
"(2012, ('I204337017', 'I13955877'))",12.0
"(2012, ('I86519309', 'I97018004'))",11.0
"(2013, ('I36258959', 'I97018004'))",33.0
"(2013, ('I174306211', 'I16391192'))",22.0
"(2013, ('I97018004', 'I16391192'))",17.0
"(2013, ('I97018004', 'I86519309'))",15.0
"(2013, ('I204337017', 'I13955877'))",15.0
"(2014, ('I53964585', 'I97018004'))",19.0
"(2014, ('I174306211', 'I16391192'))",15.0
"(2014, ('I174306211', 'I66946132'))",15.0
"(2014, ('I53964585', 'I1290206253'))",13.0
"(2014, ('I53964585', 'I1341412227'))",13.0
"(2015, ('I174306211', 'I16391192'))",24.0
"(2015, ('I174306211', 'I204337017'))",19.0
"(2015, ('I204337017', 'I13955877'))",15.0
"(2015, ('I19820366', 'I150229711'))",14.0
"(2015, ('I63966007', 'I53964585'))",13.0
"(2016, ('I1294671590', 'I1326498283'))",25.0
"(2016, ('I97018004', 'I53964585'))",18.0
"(2016, ('I29607241', 'I36258959'))",14.0
"(2016, ('I150229711', 'I149594827'))",13.0
"(2016, ('I149594827', 'I19820366'))",12.0
"(2017, ('I97018004', 'I53964585'))",36.0
"(2017, ('I200845125', 'I149594827'))",27.0
"(2017, ('I19820366', 'I4210156404'))",22.0
"(2017, ('I1294671590', 'I1326498283'))",22.0
"(2017, ('I19820366', 'I149594827'))",19.0
"(2018, ('I4210136859', 'I4210132990'))",40.0
"(2018, ('I1294671590', 'I1326498283'))",25.0
"(2018, ('I1294671590', 'I29607241'))",21.0
"(2018, ('I37461747', 'I149594827'))",18.0
"(2018, ('I29607241', 'I1326498283'))",17.0
"(2019, ('I149594827', 'I150229711'))",28.0
"(2019, ('I149594827', 'I4210132990'))",23.0
"(2019, ('I1294671590', 'I1326498283'))",21.0
"(2019, ('I138898306', 'I4210093787'))",15.0
"(2019, ('I4210136859', 'I4210132990'))",15.0
"(2020, ('I1326498283', 'I1294671590'))",35.0
"(2020, ('I1294671590', 'I29607241'))",32.0
"(2020, ('I2746051580', 'I1294671590'))",26.0
"(2020, ('I13955877', 'I204337017'))",25.0
"(2020, ('I149594827', 'I150229711'))",25.0
"(2021, ('I149594827', 'I150229711'))",30.0
"(2021, ('I4210136859', 'I149594827'))",26.0
"(2021, ('I4210132990', 'I149594827'))",24.0
"(2021, ('I114531698', 'I201537933'))",17.0
"(2021, ('I88830068', 'I4210132990'))",16.0
"(2022, ('I111753288', 'I4210132990'))",27.0
"(2022, ('I149594827', 'I4210132990'))",24.0
"(2022, ('I149594827', 'I150229711'))",19.0
"(2022, ('I4210093787', 'I204337017'))",19.0
"(2022, ('I138898306', 'I4210093787'))",18.0
"(2023, ('I149594827', 'I4210132990'))",38.0
"(2023, ('I5343935', 'I149594827'))",17.0
"(2023, ('I149594827', 'I150229711'))",17.0
"(2023, ('I149594827', 'I139759216'))",16.0
"(2023, ('I99464096', 'I4210114974'))",16.0
"(2024, ('I111753288', 'I149594827'))",18.0
"(2024, ('I150229711', 'I149594827'))",13.0
"(2024, ('I149594827', 'I139759216'))",13.0
"(2024, ('I204730241', 'I1294671590'))",13.0
"(2024, ('I150229711', 'I4210132990'))",12.0
"(2025, ('I1294671590', 'I2746051580'))",21.0
"(2025, ('I1294671590', 'I204730241'))",15.0
"(2025, ('I4210129409', 'I2746051580'))",14.0
"(2025, ('I1294671590', 'I4210129409'))",14.0
"(2025, ('I1294671590', 'I4210117673'))",12.0
