,,source_frequency_this_year,top_3_targets
2015,I4210127646,1888,"[{'target_id': 'I122411786', 'count': 165}, {'target_id': 'I149899117', 'count': 116}, {'target_id': 'I1294671590', 'count': 85}]"
2015,I122411786,1806,"[{'target_id': 'I4210127646', 'count': 122}, {'target_id': 'I149899117', 'count': 71}, {'target_id': 'I205783295', 'count': 46}]"
2015,I368840534,1490,"[{'target_id': 'I122411786', 'count': 51}, {'target_id': 'I4210127646', 'count': 42}, {'target_id': 'I1294671590', 'count': 39}]"
2015,I141596103,1445,"[{'target_id': 'I1294671590', 'count': 42}, {'target_id': 'I122411786', 'count': 41}, {'target_id': 'I4387152517', 'count': 36}]"
2016,I122411786,4024,"[{'target_id': 'I4210127646', 'count': 216}, {'target_id': 'I79510175', 'count': 139}, {'target_id': 'I149899117', 'count': 122}]"
2016,I1294671590,2896,"[{'target_id': 'I122411786', 'count': 100}, {'target_id': 'I2801766991', 'count': 59}, {'target_id': 'I149899117', 'count': 51}]"
2016,I4210127646,1640,"[{'target_id': 'I122411786', 'count': 231}, {'target_id': 'I149899117', 'count': 90}, {'target_id': 'I84909340', 'count': 64}]"
2016,I23732399,1491,"[{'target_id': 'I122411786', 'count': 73}, {'target_id': 'I241749', 'count': 37}, {'target_id': 'I1294671590', 'count': 34}]"
2016,I4210158571,1258,"[{'target_id': 'I1299164729', 'count': 81}, {'target_id': 'I28407311', 'count': 74}, {'target_id': 'I1292875679', 'count': 67}]"
2017,I1294671590,2755,"[{'target_id': 'I122411786', 'count': 49}, {'target_id': 'I84909340', 'count': 45}, {'target_id': 'I2801766991', 'count': 38}]"
2017,I122411786,2715,"[{'target_id': 'I4210127646', 'count': 166}, {'target_id': 'I79510175', 'count': 93}, {'target_id': 'I149899117', 'count': 82}]"
2017,I4210127646,2513,"[{'target_id': 'I122411786', 'count': 345}, {'target_id': 'I84909340', 'count': 91}, {'target_id': 'I149899117', 'count': 86}]"
2017,I204730241,1910,"[{'target_id': 'I1294671590', 'count': 81}, {'target_id': 'I114090438', 'count': 34}, {'target_id': 'I59553526', 'count': 34}]"
2017,I2746051580,1787,"[{'target_id': 'I1294671590', 'count': 75}, {'target_id': 'I114090438', 'count': 34}, {'target_id': 'I59553526', 'count': 33}]"
2018,I122411786,2800,"[{'target_id': 'I4210127646', 'count': 93}, {'target_id': 'I79510175', 'count': 60}, {'target_id': 'I149899117', 'count': 57}]"
2018,I4210127646,2548,"[{'target_id': 'I122411786', 'count': 439}, {'target_id': 'I149899117', 'count': 118}, {'target_id': 'I84909340', 'count': 72}]"
2018,I1294671590,2087,"[{'target_id': 'I122411786', 'count': 136}, {'target_id': 'I84909340', 'count': 54}, {'target_id': 'I2801766991', 'count': 42}]"
2018,I114457229,1501,"[{'target_id': 'I122411786', 'count': 96}, {'target_id': 'I4210127646', 'count': 49}, {'target_id': 'I1294671590', 'count': 33}]"
2018,I28407311,1499,"[{'target_id': 'I1299164729', 'count': 92}, {'target_id': 'I1292875679', 'count': 88}, {'target_id': 'I4210158571', 'count': 82}]"
2019,I122411786,5063,"[{'target_id': 'I4210127646', 'count': 192}, {'target_id': 'I79510175', 'count': 118}, {'target_id': 'I66946132', 'count': 102}]"
2019,I43439940,3038,"[{'target_id': 'I122411786', 'count': 200}, {'target_id': 'I4210127646', 'count': 102}, {'target_id': 'I1294671590', 'count': 69}]"
2019,I1294671590,2647,"[{'target_id': 'I122411786', 'count': 146}, {'target_id': 'I2801766991', 'count': 52}, {'target_id': 'I1306266525', 'count': 48}]"
2019,I4210127646,2509,"[{'target_id': 'I122411786', 'count': 331}, {'target_id': 'I149899117', 'count': 75}, {'target_id': 'I114112103', 'count': 71}]"
2019,I22299242,2012,"[{'target_id': 'I122411786', 'count': 84}, {'target_id': 'I78577930', 'count': 58}, {'target_id': 'I5023651', 'count': 47}]"
2020,I122411786,4726,"[{'target_id': 'I4210127646', 'count': 179}, {'target_id': 'I205783295', 'count': 116}, {'target_id': 'I79510175', 'count': 115}]"
2020,I4210127646,3674,"[{'target_id': 'I122411786', 'count': 434}, {'target_id': 'I114112103', 'count': 118}, {'target_id': 'I84909340', 'count': 104}]"
2020,I4210126807,3249,"[{'target_id': 'I122411786', 'count': 304}, {'target_id': 'I56590836', 'count': 154}, {'target_id': 'I4210127646', 'count': 92}]"
2020,I19820366,3204,"[{'target_id': 'I122411786', 'count': 165}, {'target_id': 'I4210165038', 'count': 107}, {'target_id': 'I74801974', 'count': 82}]"
2020,I1294671590,2918,"[{'target_id': 'I122411786', 'count': 190}, {'target_id': 'I2801766991', 'count': 89}, {'target_id': 'I39804081', 'count': 57}]"
2021,I122411786,5249,"[{'target_id': 'I4210127646', 'count': 285}, {'target_id': 'I1294671590', 'count': 127}, {'target_id': 'I79510175', 'count': 119}]"
2021,I4210127646,4254,"[{'target_id': 'I122411786', 'count': 441}, {'target_id': 'I114112103', 'count': 130}, {'target_id': 'I149899117', 'count': 109}]"
2021,I1294671590,3480,"[{'target_id': 'I122411786', 'count': 244}, {'target_id': 'I4210127646', 'count': 77}, {'target_id': 'I2801766991', 'count': 72}]"
2021,I19820366,3002,"[{'target_id': 'I122411786', 'count': 137}, {'target_id': 'I4210158571', 'count': 53}, {'target_id': 'I4210165038', 'count': 52}]"
2021,I4210126807,2430,"[{'target_id': 'I122411786', 'count': 197}, {'target_id': 'I56590836', 'count': 92}, {'target_id': 'I4210127646', 'count': 74}]"
2022,I4210127646,4426,"[{'target_id': 'I122411786', 'count': 443}, {'target_id': 'I1294671590', 'count': 116}, {'target_id': 'I114112103', 'count': 108}]"
2022,I122411786,3774,"[{'target_id': 'I4210127646', 'count': 243}, {'target_id': 'I114112103', 'count': 87}, {'target_id': 'I1294671590', 'count': 82}]"
2022,I1294671590,3556,"[{'target_id': 'I122411786', 'count': 163}, {'target_id': 'I4210127646', 'count': 64}, {'target_id': 'I2801766991', 'count': 58}]"
2022,I19820366,3333,"[{'target_id': 'I122411786', 'count': 139}, {'target_id': 'I4210164580', 'count': 113}, {'target_id': 'I4210165038', 'count': 101}]"
2022,I4210126807,2722,"[{'target_id': 'I122411786', 'count': 140}, {'target_id': 'I56590836', 'count': 113}, {'target_id': 'I1292875679', 'count': 70}]"
2023,I4210127646,6018,"[{'target_id': 'I122411786', 'count': 439}, {'target_id': 'I1294671590', 'count': 189}, {'target_id': 'I84909340', 'count': 169}]"
2023,I122411786,3364,"[{'target_id': 'I4210127646', 'count': 98}, {'target_id': 'I56590836', 'count': 81}, {'target_id': 'I4210126807', 'count': 72}]"
2023,I1294671590,2669,"[{'target_id': 'I122411786', 'count': 151}, {'target_id': 'I2801766991', 'count': 64}, {'target_id': 'I4210127646', 'count': 52}]"
2023,I19820366,2643,"[{'target_id': 'I4210164580', 'count': 99}, {'target_id': 'I4210165038', 'count': 93}, {'target_id': 'I122411786', 'count': 76}]"
2023,I183974707,2559,"[{'target_id': 'I122411786', 'count': 134}, {'target_id': 'I4210127646', 'count': 94}, {'target_id': 'I1294671590', 'count': 51}]"
2024,I4210127646,4428,"[{'target_id': 'I122411786', 'count': 351}, {'target_id': 'I1294671590', 'count': 125}, {'target_id': 'I114112103', 'count': 81}]"
2024,I122411786,2942,"[{'target_id': 'I4210127646', 'count': 126}, {'target_id': 'I79510175', 'count': 59}, {'target_id': 'I63966007', 'count': 49}]"
2024,I130769515,2553,"[{'target_id': 'I122411786', 'count': 229}, {'target_id': 'I4210127646', 'count': 115}, {'target_id': 'I76198965', 'count': 53}]"
2024,I19820366,2422,"[{'target_id': 'I122411786', 'count': 121}, {'target_id': 'I4210164580', 'count': 84}, {'target_id': 'I4210165038', 'count': 67}]"
2024,I157725225,2093,"[{'target_id': 'I122411786', 'count': 110}, {'target_id': 'I23732399', 'count': 44}, {'target_id': 'I20089843', 'count': 43}]"
2025,I4210127646,5225,"[{'target_id': 'I122411786', 'count': 410}, {'target_id': 'I84909340', 'count': 173}, {'target_id': 'I66946132', 'count': 130}]"
2025,I122411786,2637,"[{'target_id': 'I4210127646', 'count': 139}, {'target_id': 'I79510175', 'count': 50}, {'target_id': 'I205783295', 'count': 46}]"
2025,I79619799,1865,"[{'target_id': 'I122411786', 'count': 132}, {'target_id': 'I4210127646', 'count': 114}, {'target_id': 'I1294671590', 'count': 41}]"
2025,I157725225,1491,"[{'target_id': 'I122411786', 'count': 104}, {'target_id': 'I4210127646', 'count': 60}, {'target_id': 'I23732399', 'count': 39}]"
2025,I1294671590,1488,"[{'target_id': 'I122411786', 'count': 47}, {'target_id': 'I4210126779', 'count': 21}, {'target_id': 'I887064364', 'count': 19}]"
