,,source_frequency_this_year,top_3_targets
2005,I122411786,629,"[{'target_id': 'I4210127646', 'count': 60}, {'target_id': 'I149899117', 'count': 31}, {'target_id': 'I205783295', 'count': 31}]"
2005,I149899117,629,"[{'target_id': 'I122411786', 'count': 63}, {'target_id': 'I4210127646', 'count': 42}, {'target_id': 'I1294671590', 'count': 22}]"
2005,I74801974,564,"[{'target_id': 'I157725225', 'count': 43}, {'target_id': 'I165953009', 'count': 37}, {'target_id': 'I98285908', 'count': 34}]"
2005,I4210108497,523,"[{'target_id': 'I28407311', 'count': 80}, {'target_id': 'I122411786', 'count': 31}, {'target_id': 'I20089843', 'count': 27}]"
2005,I28407311,519,"[{'target_id': 'I4210108497', 'count': 89}, {'target_id': 'I122411786', 'count': 30}, {'target_id': 'I20089843', 'count': 26}]"
2006,I2801766991,903,"[{'target_id': 'I1294671590', 'count': 127}, {'target_id': 'I2800004676', 'count': 62}, {'target_id': 'I122411786', 'count': 60}]"
2006,I130769515,706,"[{'target_id': 'I122411786', 'count': 55}, {'target_id': 'I4210127646', 'count': 32}, {'target_id': 'I205783295', 'count': 23}]"
2006,I1306266525,597,"[{'target_id': 'I122411786', 'count': 30}, {'target_id': 'I205783295', 'count': 28}, {'target_id': 'I66946132', 'count': 21}]"
2006,I149899117,592,"[{'target_id': 'I74801974', 'count': 33}, {'target_id': 'I4210103661', 'count': 33}, {'target_id': 'I122411786', 'count': 32}]"
2006,I4210127646,529,"[{'target_id': 'I122411786', 'count': 59}, {'target_id': 'I149899117', 'count': 52}, {'target_id': 'I130769515', 'count': 25}]"
2007,I149899117,1339,"[{'target_id': 'I122411786', 'count': 117}, {'target_id': 'I4210127646', 'count': 103}, {'target_id': 'I1294671590', 'count': 54}]"
2007,I4210127646,1196,"[{'target_id': 'I122411786', 'count': 109}, {'target_id': 'I149899117', 'count': 106}, {'target_id': 'I1294671590', 'count': 31}]"
2007,I122411786,776,"[{'target_id': 'I4210127646', 'count': 40}, {'target_id': 'I149899117', 'count': 28}, {'target_id': 'I1294671590', 'count': 27}]"
2007,I66946132,730,"[{'target_id': 'I122411786', 'count': 56}, {'target_id': 'I1294671590', 'count': 45}, {'target_id': 'I84909340', 'count': 41}]"
2007,I19820366,621,"[{'target_id': 'I4210137180', 'count': 22}, {'target_id': 'I205783295', 'count': 20}, {'target_id': 'I51296178', 'count': 18}]"
2008,I4210127646,1104,"[{'target_id': 'I122411786', 'count': 106}, {'target_id': 'I149899117', 'count': 92}, {'target_id': 'I1294671590', 'count': 34}]"
2008,I122411786,997,"[{'target_id': 'I4210127646', 'count': 61}, {'target_id': 'I149899117', 'count': 36}, {'target_id': 'I205783295', 'count': 29}]"
2008,I76198965,819,"[{'target_id': 'I4210127646', 'count': 69}, {'target_id': 'I149899117', 'count': 60}, {'target_id': 'I122411786', 'count': 46}]"
2008,I4210103661,797,"[{'target_id': 'I887064364', 'count': 73}, {'target_id': 'I1306266525', 'count': 45}, {'target_id': 'I63966007', 'count': 44}]"
2008,I205783295,776,"[{'target_id': 'I122411786', 'count': 81}, {'target_id': 'I4210127646', 'count': 34}, {'target_id': 'I157725225', 'count': 33}]"
2009,I4210127646,1586,"[{'target_id': 'I122411786', 'count': 131}, {'target_id': 'I149899117', 'count': 101}, {'target_id': 'I170201317', 'count': 58}]"
2009,I1294671590,1333,"[{'target_id': 'I122411786', 'count': 63}, {'target_id': 'I149899117', 'count': 44}, {'target_id': 'I2801766991', 'count': 42}]"
2009,I149899117,1172,"[{'target_id': 'I122411786', 'count': 94}, {'target_id': 'I4210127646', 'count': 78}, {'target_id': 'I84909340', 'count': 47}]"
2009,I79510175,1106,"[{'target_id': 'I122411786', 'count': 154}, {'target_id': 'I4210127646', 'count': 96}, {'target_id': 'I149899117', 'count': 88}]"
2009,I122411786,1011,"[{'target_id': 'I4210127646', 'count': 82}, {'target_id': 'I149899117', 'count': 63}, {'target_id': 'I130769515', 'count': 47}]"
2010,I4210127646,1408,"[{'target_id': 'I122411786', 'count': 133}, {'target_id': 'I149899117', 'count': 108}, {'target_id': 'I114112103', 'count': 39}]"
2010,I122411786,1249,"[{'target_id': 'I4210127646', 'count': 76}, {'target_id': 'I149899117', 'count': 55}, {'target_id': 'I66946132', 'count': 34}]"
2010,I149899117,803,"[{'target_id': 'I4210127646', 'count': 80}, {'target_id': 'I122411786', 'count': 66}, {'target_id': 'I4210103661', 'count': 21}]"
2010,I1294671590,788,"[{'target_id': 'I122411786', 'count': 54}, {'target_id': 'I2801766991', 'count': 27}, {'target_id': 'I130769515', 'count': 20}]"
2010,I19820366,603,"[{'target_id': 'I887064364', 'count': 21}, {'target_id': 'I122411786', 'count': 18}, {'target_id': 'I28407311', 'count': 18}]"
2011,I122411786,1581,"[{'target_id': 'I4210127646', 'count': 124}, {'target_id': 'I149899117', 'count': 66}, {'target_id': 'I76198965', 'count': 41}]"
2011,I4210127646,1046,"[{'target_id': 'I122411786', 'count': 69}, {'target_id': 'I149899117', 'count': 67}, {'target_id': 'I205783295', 'count': 24}]"
2011,I1294671590,953,"[{'target_id': 'I122411786', 'count': 40}, {'target_id': 'I1288214837', 'count': 25}, {'target_id': 'I149899117', 'count': 22}]"
2011,I22299242,798,"[{'target_id': 'I74801974', 'count': 51}, {'target_id': 'I122411786', 'count': 44}, {'target_id': 'I165953009', 'count': 37}]"
2011,I66946132,764,"[{'target_id': 'I122411786', 'count': 81}, {'target_id': 'I4210127646', 'count': 57}, {'target_id': 'I84909340', 'count': 55}]"
2012,I4210127646,1945,"[{'target_id': 'I122411786', 'count': 148}, {'target_id': 'I149899117', 'count': 110}, {'target_id': 'I170201317', 'count': 41}]"
2012,I122411786,1456,"[{'target_id': 'I4210127646', 'count': 79}, {'target_id': 'I149899117', 'count': 63}, {'target_id': 'I4210103661', 'count': 42}]"
2012,I149899117,1157,"[{'target_id': 'I4210127646', 'count': 69}, {'target_id': 'I122411786', 'count': 63}, {'target_id': 'I28407311', 'count': 29}]"
2012,I4210158571,969,"[{'target_id': 'I28407311', 'count': 63}, {'target_id': 'I1299164729', 'count': 47}, {'target_id': 'I1292875679', 'count': 44}]"
2012,I1294671590,917,"[{'target_id': 'I122411786', 'count': 39}, {'target_id': 'I205783295', 'count': 35}, {'target_id': 'I1306266525', 'count': 25}]"
2013,I4210127646,2298,"[{'target_id': 'I122411786', 'count': 234}, {'target_id': 'I149899117', 'count': 125}, {'target_id': 'I157725225', 'count': 49}]"
2013,I122411786,1697,"[{'target_id': 'I4210127646', 'count': 153}, {'target_id': 'I149899117', 'count': 73}, {'target_id': 'I205783295', 'count': 57}]"
2013,I23732399,1604,"[{'target_id': 'I122411786', 'count': 113}, {'target_id': 'I22299242', 'count': 47}, {'target_id': 'I1294671590', 'count': 45}]"
2013,I1294671590,1574,"[{'target_id': 'I122411786', 'count': 67}, {'target_id': 'I2801766991', 'count': 40}, {'target_id': 'I84909340', 'count': 38}]"
2013,I149899117,1369,"[{'target_id': 'I122411786', 'count': 125}, {'target_id': 'I4210127646', 'count': 102}, {'target_id': 'I4210103661', 'count': 40}]"
2014,I1294671590,2638,"[{'target_id': 'I122411786', 'count': 132}, {'target_id': 'I4210127646', 'count': 75}, {'target_id': 'I149899117', 'count': 69}]"
2014,I122411786,2100,"[{'target_id': 'I4210127646', 'count': 123}, {'target_id': 'I149899117', 'count': 85}, {'target_id': 'I63966007', 'count': 58}]"
2014,I4210127646,1676,"[{'target_id': 'I122411786', 'count': 192}, {'target_id': 'I149899117', 'count': 110}, {'target_id': 'I43439940', 'count': 47}]"
2014,I66946132,1072,"[{'target_id': 'I122411786', 'count': 67}, {'target_id': 'I4210112515', 'count': 42}, {'target_id': 'I4210127646', 'count': 36}]"
2014,I204730241,1052,"[{'target_id': 'I1294671590', 'count': 56}, {'target_id': 'I4210127646', 'count': 40}, {'target_id': 'I122411786', 'count': 37}]"
2015,I1294671590,2325,"[{'target_id': 'I122411786', 'count': 66}, {'target_id': 'I149899117', 'count': 57}, {'target_id': 'I2801766991', 'count': 45}]"
