,,source_frequency_this_year,top_3_targets
2008,I24943067,563,"[{'target_id': 'I107639228', 'count': 57}, {'target_id': 'I1308548392', 'count': 34}, {'target_id': 'I27837315', 'count': 31}]"
2008,I74973139,540,"[{'target_id': 'I27837315', 'count': 29}, {'target_id': 'I205783295', 'count': 26}, {'target_id': 'I107639228', 'count': 25}]"
2008,I126520041,375,"[{'target_id': 'I107639228', 'count': 34}, {'target_id': 'I1308548392', 'count': 20}, {'target_id': 'I27837315', 'count': 14}]"
2009,I134940468,888,"[{'target_id': 'I27837315', 'count': 45}, {'target_id': 'I55952717', 'count': 29}, {'target_id': 'I1308548392', 'count': 29}]"
2009,I24943067,687,"[{'target_id': 'I107639228', 'count': 44}, {'target_id': 'I4210120482', 'count': 37}, {'target_id': 'I27837315', 'count': 30}]"
2009,I27357992,333,"[{'target_id': 'I107639228', 'count': 14}, {'target_id': 'I55732556', 'count': 14}, {'target_id': 'I1308548392', 'count': 11}]"
2009,I55732556,323,"[{'target_id': 'I74973139', 'count': 20}, {'target_id': 'I205783295', 'count': 16}, {'target_id': 'I27837315', 'count': 13}]"
2009,I27837315,315,"[{'target_id': 'I205783295', 'count': 27}, {'target_id': 'I1308548392', 'count': 24}, {'target_id': 'I74973139', 'count': 22}]"
2010,I1294671590,711,"[{'target_id': 'I1308548392', 'count': 28}, {'target_id': 'I27837315', 'count': 26}, {'target_id': 'I205783295', 'count': 23}]"
2010,I106118109,518,"[{'target_id': 'I27837315', 'count': 21}, {'target_id': 'I134940468', 'count': 15}, {'target_id': 'I205783295', 'count': 11}]"
2010,I97018004,506,"[{'target_id': 'I74973139', 'count': 34}, {'target_id': 'I205783295', 'count': 20}, {'target_id': 'I27837315', 'count': 20}]"
2010,I19820366,466,"[{'target_id': 'I4210090176', 'count': 36}, {'target_id': 'I27837315', 'count': 32}, {'target_id': 'I1308548392', 'count': 22}]"
2010,I24943067,434,"[{'target_id': 'I107639228', 'count': 26}, {'target_id': 'I1308548392', 'count': 20}, {'target_id': 'I27837315', 'count': 20}]"
2011,I17974374,968,"[{'target_id': 'I107639228', 'count': 31}, {'target_id': 'I1308548392', 'count': 27}, {'target_id': 'I27837315', 'count': 21}]"
2011,I1321296531,842,"[{'target_id': 'I17974374', 'count': 42}, {'target_id': 'I107639228', 'count': 24}, {'target_id': 'I177909021', 'count': 18}]"
2011,I1294671590,646,"[{'target_id': 'I27837315', 'count': 38}, {'target_id': 'I1308548392', 'count': 27}, {'target_id': 'I204730241', 'count': 19}]"
2011,I12912129,552,"[{'target_id': 'I107639228', 'count': 26}, {'target_id': 'I205783295', 'count': 23}, {'target_id': 'I27837315', 'count': 22}]"
2011,I134940468,501,"[{'target_id': 'I27837315', 'count': 23}, {'target_id': 'I4210119109', 'count': 17}, {'target_id': 'I1308548392', 'count': 15}]"
2012,I74973139,676,"[{'target_id': 'I205783295', 'count': 31}, {'target_id': 'I27837315', 'count': 28}, {'target_id': 'I1308548392', 'count': 22}]"
2012,I97018004,650,"[{'target_id': 'I74973139', 'count': 42}, {'target_id': 'I205783295', 'count': 40}, {'target_id': 'I27837315', 'count': 23}]"
2012,I17974374,482,"[{'target_id': 'I27837315', 'count': 27}, {'target_id': 'I177909021', 'count': 17}, {'target_id': 'I205783295', 'count': 15}]"
2012,I150229711,478,"[{'target_id': 'I126520041', 'count': 28}, {'target_id': 'I1308548392', 'count': 22}, {'target_id': 'I107639228', 'count': 20}]"
2012,I19820366,474,"[{'target_id': 'I27837315', 'count': 25}, {'target_id': 'I205783295', 'count': 16}, {'target_id': 'I1308548392', 'count': 15}]"
2013,I12912129,660,"[{'target_id': 'I157725225', 'count': 31}, {'target_id': 'I107639228', 'count': 31}, {'target_id': 'I9617848', 'count': 20}]"
2013,I19820366,569,"[{'target_id': 'I205783295', 'count': 24}, {'target_id': 'I97018004', 'count': 19}, {'target_id': 'I107639228', 'count': 15}]"
2013,I1294671590,558,"[{'target_id': 'I27837315', 'count': 20}, {'target_id': 'I1308548392', 'count': 19}, {'target_id': 'I134940468', 'count': 18}]"
2013,I82880672,493,"[{'target_id': 'I126520041', 'count': 29}, {'target_id': 'I55732556', 'count': 19}, {'target_id': 'I107639228', 'count': 16}]"
2013,I9927081,410,"[{'target_id': 'I13955877', 'count': 12}, {'target_id': 'I111088046', 'count': 11}, {'target_id': 'I27837315', 'count': 10}]"
2014,I1294671590,711,"[{'target_id': 'I134940468', 'count': 23}, {'target_id': 'I27837315', 'count': 18}, {'target_id': 'I1308548392', 'count': 16}]"
2014,I149594827,675,"[{'target_id': 'I27837315', 'count': 33}, {'target_id': 'I205783295', 'count': 30}, {'target_id': 'I134940468', 'count': 29}]"
2014,I12912129,663,"[{'target_id': 'I111088046', 'count': 26}, {'target_id': 'I13955877', 'count': 23}, {'target_id': 'I107639228', 'count': 18}]"
2014,I40120149,645,"[{'target_id': 'I27837315', 'count': 23}, {'target_id': 'I13955877', 'count': 18}, {'target_id': 'I111088046', 'count': 17}]"
2014,I55732556,534,"[{'target_id': 'I1308548392', 'count': 21}, {'target_id': 'I205783295', 'count': 21}, {'target_id': 'I97018004', 'count': 16}]"
2015,I82880672,721,"[{'target_id': 'I27837315', 'count': 28}, {'target_id': 'I1308548392', 'count': 23}, {'target_id': 'I205783295', 'count': 23}]"
2015,I149594827,721,"[{'target_id': 'I27837315', 'count': 32}, {'target_id': 'I205783295', 'count': 26}, {'target_id': 'I134940468', 'count': 23}]"
2015,I150229711,651,"[{'target_id': 'I27837315', 'count': 26}, {'target_id': 'I154338468', 'count': 19}, {'target_id': 'I1308548392', 'count': 17}]"
2015,I99065089,608,"[{'target_id': 'I97018004', 'count': 33}, {'target_id': 'I205783295', 'count': 33}, {'target_id': 'I74973139', 'count': 29}]"
2015,I170215575,578,"[{'target_id': 'I107639228', 'count': 15}, {'target_id': 'I27837315', 'count': 14}, {'target_id': 'I887064364', 'count': 14}]"
2016,I150229711,1020,"[{'target_id': 'I154338468', 'count': 34}, {'target_id': 'I27837315', 'count': 30}, {'target_id': 'I1308548392', 'count': 29}]"
2016,I82880672,805,"[{'target_id': 'I13955877', 'count': 22}, {'target_id': 'I55952717', 'count': 21}, {'target_id': 'I111088046', 'count': 18}]"
2016,I1294671590,743,"[{'target_id': 'I97018004', 'count': 23}, {'target_id': 'I95457486', 'count': 16}, {'target_id': 'I114531698', 'count': 16}]"
2016,I149594827,741,"[{'target_id': 'I27837315', 'count': 43}, {'target_id': 'I1308548392', 'count': 26}, {'target_id': 'I205783295', 'count': 19}]"
2016,I4210149433,614,"[{'target_id': 'I111088046', 'count': 18}, {'target_id': 'I255234318', 'count': 15}, {'target_id': 'I13955877', 'count': 15}]"
2017,I150229711,905,"[{'target_id': 'I27837315', 'count': 39}, {'target_id': 'I1308548392', 'count': 28}, {'target_id': 'I9617848', 'count': 27}]"
2017,I82880672,846,"[{'target_id': 'I12912129', 'count': 19}, {'target_id': 'I27837315', 'count': 19}, {'target_id': 'I1308548392', 'count': 14}]"
2017,I149594827,776,"[{'target_id': 'I27837315', 'count': 30}, {'target_id': 'I1308548392', 'count': 23}, {'target_id': 'I134940468', 'count': 17}]"
2017,I40120149,730,"[{'target_id': 'I95457486', 'count': 24}, {'target_id': 'I201448701', 'count': 19}, {'target_id': 'I169381384', 'count': 17}]"
2017,I25254941,709,"[{'target_id': 'I4210119109', 'count': 24}, {'target_id': 'I27837315', 'count': 19}, {'target_id': 'I12912129', 'count': 19}]"
2018,I150229711,1302,"[{'target_id': 'I142108993', 'count': 89}, {'target_id': 'I111088046', 'count': 38}, {'target_id': 'I27837315', 'count': 28}]"
2018,I149594827,814,"[{'target_id': 'I27837315', 'count': 30}, {'target_id': 'I1308548392', 'count': 24}, {'target_id': 'I107639228', 'count': 17}]"
2018,I163151501,734,"[{'target_id': 'I154338468', 'count': 42}, {'target_id': 'I150229711', 'count': 21}, {'target_id': 'I111088046', 'count': 19}]"
2018,I166337079,703,"[{'target_id': 'I55952717', 'count': 25}, {'target_id': 'I12912129', 'count': 23}, {'target_id': 'I111088046', 'count': 18}]"
2018,I157773358,584,"[{'target_id': 'I111088046', 'count': 15}, {'target_id': 'I1308548392', 'count': 14}, {'target_id': 'I27837315', 'count': 14}]"
2019,I150229711,2613,"[{'target_id': 'I154338468', 'count': 57}, {'target_id': 'I63966007', 'count': 41}, {'target_id': 'I142108993', 'count': 36}]"
2019,I63966007,1285,"[{'target_id': 'I150229711', 'count': 29}, {'target_id': 'I136199984', 'count': 27}, {'target_id': 'I1308548392', 'count': 18}]"
2019,I149594827,739,"[{'target_id': 'I205783295', 'count': 24}, {'target_id': 'I27837315', 'count': 22}, {'target_id': 'I1308548392', 'count': 19}]"
2019,I17145004,718,"[{'target_id': 'I150229711', 'count': 47}, {'target_id': 'I142108993', 'count': 31}, {'target_id': 'I27837315', 'count': 20}]"
2019,I1294671590,695,"[{'target_id': 'I97018004', 'count': 14}, {'target_id': 'I74973139', 'count': 13}, {'target_id': 'I27837315', 'count': 12}]"
2020,I150229711,1749,"[{'target_id': 'I27837315', 'count': 44}, {'target_id': 'I97018004', 'count': 44}, {'target_id': 'I17145004', 'count': 42}]"
2020,I4210128584,563,"[{'target_id': 'I27837315', 'count': 21}, {'target_id': 'I134940468', 'count': 16}, {'target_id': 'I166337079', 'count': 15}]"
2020,I27357992,528,"[{'target_id': 'I99065089', 'count': 14}, {'target_id': 'I97018004', 'count': 12}, {'target_id': 'I27837315', 'count': 11}]"
2020,I4210165038,525,"[{'target_id': 'I97018004', 'count': 16}, {'target_id': 'I99065089', 'count': 13}, {'target_id': 'I19820366', 'count': 10}]"
2020,I37461747,509,"[{'target_id': 'I97018004', 'count': 9}, {'target_id': 'I99065089', 'count': 8}, {'target_id': 'I74973139', 'count': 8}]"
2021,I150229711,1109,"[{'target_id': 'I99065089', 'count': 36}, {'target_id': 'I19820366', 'count': 36}, {'target_id': 'I97018004', 'count': 34}]"
2021,I149594827,707,"[{'target_id': 'I27837315', 'count': 19}, {'target_id': 'I1308548392', 'count': 16}, {'target_id': 'I97018004', 'count': 15}]"
2021,I126520041,700,"[{'target_id': 'I111088046', 'count': 32}, {'target_id': 'I13955877', 'count': 26}, {'target_id': 'I1308548392', 'count': 22}]"
2021,I99065089,660,"[{'target_id': 'I97018004', 'count': 19}, {'target_id': 'I63966007', 'count': 16}, {'target_id': 'I74973139', 'count': 11}]"
2021,I76214153,647,"[{'target_id': 'I150229711', 'count': 30}, {'target_id': 'I27837315', 'count': 15}, {'target_id': 'I205783295', 'count': 11}]"
2022,I114531698,1296,"[{'target_id': 'I136199984', 'count': 32}, {'target_id': 'I111088046', 'count': 19}, {'target_id': 'I1308548392', 'count': 19}]"
2022,I1294671590,777,"[{'target_id': 'I134940468', 'count': 15}, {'target_id': 'I166337079', 'count': 14}, {'target_id': 'I97018004', 'count': 11}]"
2022,I148128674,647,"[{'target_id': 'I150229711', 'count': 39}, {'target_id': 'I205783295', 'count': 12}, {'target_id': 'I99065089', 'count': 12}]"
2022,I60858718,626,"[{'target_id': 'I27837315', 'count': 27}, {'target_id': 'I4210120482', 'count': 20}, {'target_id': 'I1308548392', 'count': 18}]"
2022,I47720641,586,"[{'target_id': 'I205783295', 'count': 12}, {'target_id': 'I19820366', 'count': 11}, {'target_id': 'I126520041', 'count': 10}]"
2023,I170215575,879,"[{'target_id': 'I111088046', 'count': 23}, {'target_id': 'I13955877', 'count': 21}, {'target_id': 'I150229711', 'count': 19}]"
2023,I149594827,680,"[{'target_id': 'I27837315', 'count': 18}, {'target_id': 'I97018004', 'count': 14}, {'target_id': 'I114017466', 'count': 12}]"
2023,I150229711,614,"[{'target_id': 'I205783295', 'count': 12}, {'target_id': 'I24185976', 'count': 12}, {'target_id': 'I55952717', 'count': 9}]"
2023,I37461747,595,"[{'target_id': 'I27837315', 'count': 14}, {'target_id': 'I1308548392', 'count': 13}, {'target_id': 'I150229711', 'count': 12}]"
2023,I99065089,459,"[{'target_id': 'I97018004', 'count': 11}, {'target_id': 'I27837315', 'count': 10}, {'target_id': 'I74973139', 'count': 8}]"
2024,I170215575,939,"[{'target_id': 'I150229711', 'count': 26}, {'target_id': 'I205783295', 'count': 21}, {'target_id': 'I107639228', 'count': 19}]"
2024,I162030827,733,"[{'target_id': 'I56404289', 'count': 35}, {'target_id': 'I91357014', 'count': 33}, {'target_id': 'I126520041', 'count': 11}]"
2024,I150229711,686,"[{'target_id': 'I154338468', 'count': 20}, {'target_id': 'I107639228', 'count': 14}, {'target_id': 'I205783295', 'count': 13}]"
2024,I25254941,681,"[{'target_id': 'I13955877', 'count': 21}, {'target_id': 'I170215575', 'count': 21}, {'target_id': 'I82880672', 'count': 16}]"
2024,I148128674,654,"[{'target_id': 'I136765683', 'count': 25}, {'target_id': 'I115592961', 'count': 15}, {'target_id': 'I150229711', 'count': 12}]"
2025,I25254941,772,"[{'target_id': 'I1308548392', 'count': 19}, {'target_id': 'I205783295', 'count': 16}, {'target_id': 'I170215575', 'count': 16}]"
2025,I170215575,662,"[{'target_id': 'I13955877', 'count': 14}, {'target_id': 'I82880672', 'count': 14}, {'target_id': 'I1294671590', 'count': 10}]"
2025,I4210108754,587,"[{'target_id': 'I127077003', 'count': 20}, {'target_id': 'I71999127', 'count': 19}, {'target_id': 'I861853513', 'count': 19}]"
2025,I17145004,557,"[{'target_id': 'I150229711', 'count': 13}, {'target_id': 'I82880672', 'count': 10}, {'target_id': 'I20231570', 'count': 9}]"
2025,I163151501,521,"[{'target_id': 'I135237710', 'count': 13}, {'target_id': 'I111088046', 'count': 11}, {'target_id': 'I12912129', 'count': 8}]"
