,,source_frequency_this_year,top_3_targets
2005,I1294671590,424,"[{'target_id': 'I107639228', 'count': 40}, {'target_id': 'I1308548392', 'count': 26}, {'target_id': 'I205783295', 'count': 25}]"
2005,I126520041,379,"[{'target_id': 'I107639228', 'count': 45}, {'target_id': 'I1308548392', 'count': 25}, {'target_id': 'I9617848', 'count': 18}]"
2005,I204730241,370,"[{'target_id': 'I107639228', 'count': 39}, {'target_id': 'I1308548392', 'count': 25}, {'target_id': 'I205783295', 'count': 23}]"
2005,I74973139,366,"[{'target_id': 'I205783295', 'count': 26}, {'target_id': 'I107639228', 'count': 16}, {'target_id': 'I1308548392', 'count': 13}]"
2005,I63966007,265,"[{'target_id': 'I1308548392', 'count': 28}, {'target_id': 'I205783295', 'count': 23}, {'target_id': 'I107639228', 'count': 14}]"
2006,I4210149433,650,"[{'target_id': 'I107639228', 'count': 20}, {'target_id': 'I1308548392', 'count': 19}, {'target_id': 'I27837315', 'count': 17}]"
2006,I1294671590,571,"[{'target_id': 'I107639228', 'count': 35}, {'target_id': 'I205783295', 'count': 30}, {'target_id': 'I1308548392', 'count': 27}]"
2006,I74973139,534,"[{'target_id': 'I205783295', 'count': 29}, {'target_id': 'I107639228', 'count': 25}, {'target_id': 'I27837315', 'count': 21}]"
2006,I126520041,488,"[{'target_id': 'I107639228', 'count': 44}, {'target_id': 'I9617848', 'count': 30}, {'target_id': 'I1308548392', 'count': 27}]"
2006,I4210119109,350,"[{'target_id': 'I1308548392', 'count': 21}, {'target_id': 'I27837315', 'count': 20}, {'target_id': 'I205783295', 'count': 19}]"
2007,I126520041,737,"[{'target_id': 'I107639228', 'count': 63}, {'target_id': 'I1308548392', 'count': 42}, {'target_id': 'I205783295', 'count': 34}]"
2007,I17974374,481,"[{'target_id': 'I1308548392', 'count': 39}, {'target_id': 'I27837315', 'count': 36}, {'target_id': 'I107639228', 'count': 25}]"
2007,I130769515,463,"[{'target_id': 'I107639228', 'count': 32}, {'target_id': 'I205783295', 'count': 21}, {'target_id': 'I1308548392', 'count': 19}]"
2007,I21193070,448,"[{'target_id': 'I107639228', 'count': 45}, {'target_id': 'I205783295', 'count': 24}, {'target_id': 'I126520041', 'count': 24}]"
2007,I861853513,421,"[{'target_id': 'I107639228', 'count': 19}, {'target_id': 'I1308548392', 'count': 15}, {'target_id': 'I205783295', 'count': 15}]"
2008,I60858718,894,"[{'target_id': 'I4210120482', 'count': 39}, {'target_id': 'I1308548392', 'count': 38}, {'target_id': 'I107639228', 'count': 38}]"
2008,I4210120482,704,"[{'target_id': 'I1308548392', 'count': 27}, {'target_id': 'I182534213', 'count': 23}, {'target_id': 'I205783295', 'count': 18}]"
