,name,country,lat,lng
I72816309,Drexel University,US,39.95238,-75.16362
I27837315,University of Michigan,US,42.27756,-83.74088
I7597260,Hungarian Academy of Sciences,HU,47.49835,19.04045
I103531236,Boston College,US,42.35843,-71.05977
I55952717,Universitat Rovira i Virgili,ES,41.11905,1.24544
I71999127,Universitat de Barcelona,ES,41.38879,2.15899
I151746483,University of Waterloo,CA,43.4668,-80.51639
I74973139,Carnegie Mellon University,US,40.44062,-79.99589
I107639228,University of Notre Dame,US,41.70019,-86.23793
I204730241,Université Paris Cité,FR,48.85341,2.3488
I1294671590,Centre National de la Recherche Scientifique,FR,48.85341,2.3488
I4210094115,Laboratoire d'Informatique Algorithmique: Fondements et Applications,FR,48.85341,2.3488
I39555362,University of Warwick,GB,52.40656,-1.51217
I111979921,Northwestern University,US,42.04114,-87.69006
I2801997478,European Synchrotron Radiation Facility,FR,45.208778381347656,5.690055847167969
I125687163,City College of New York,US,40.714271545410156,-74.00596618652344
I204250578,"University of California, Irvine",US,33.66946,-117.82311
I4210104429,Institute of Cognitive and Brain Sciences,US,40.760650634765625,-73.96905517578125
I2801857525,Kellogg's (Canada),CA,43.65407180786133,-79.63037109375
I97018004,Stanford University,US,37.42411,-122.16608
I4210127882,Center for International Policy,US,38.90536880493164,-77.04534912109375
I193531525,George Washington University,US,38.89511,-77.03637
I66946132,"University of Maryland, College Park",US,38.98067,-76.93692
I78577930,Columbia University,US,40.71427,-74.00597
I188497080,Carleton College,US,44.45830154418945,-93.1615982055664
I4210085935,IBM Research - Almaden,US,37.21099853515625,-121.80500030517578
I4210134091,Yahoo (United States),US,37.41718292236328,-122.02499389648438
I63966007,Massachusetts Institute of Technology,US,42.3751,-71.10561
I1343871089,Los Alamos National Laboratory,US,35.88808059692383,-106.30696868896484
I169521973,University of New Mexico,US,35.08449,-106.65114
I4210100400,Northwestern University,PH,18.1978,120.5957
I1290206253,Microsoft (United States),US,47.67399,-122.12151
I4210164937,Microsoft Research (United Kingdom),GB,52.19491958618164,0.13490499556064606
I9617848,Universitat Politècnica de Catalunya,ES,41.38879,2.15899
I20382870,Missouri University of Science and Technology,US,37.95143127441406,-91.77127075195312
I169381384,University of Groningen,NL,53.21917,6.56667
I1324840837,Hewlett-Packard (United States),US,37.41238021850586,-122.14872741699219
I204337017,Aarhus University,DK,56.15674,10.21076
I40120149,University of Oxford,GB,51.75222,-1.25596
I47508984,Imperial College London,GB,51.50853,-0.12574
I106118109,Eötvös Loránd University,HU,47.49835,19.04045
I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,48.85341,2.3488
I4210101455,CEA DAM Île-de-France,FR,48.58868,2.18991
I102064193,University of Siena,IT,43.31821823120117,11.330639839172363
I122411786,California Institute of Technology,US,34.14778,-118.14452
I52357470,The Ohio State University,US,39.96118,-82.99879
I5681781,The University of Adelaide,AU,-34.92866,138.59863
I17974374,Universidade de São Paulo,BR,-23.5475,-46.63611
I55732556,Arizona State University,US,33.41477,-111.90931
I108403487,Warsaw University of Technology,PL,52.22977066040039,21.01177978515625
I243754102,Universidade Federal do Ceará,BR,-3.71722,-38.54306
I146655781,University of Liverpool,GB,53.41058,-2.97794
I4210116497,"Istituto Nazionale di Fisica Nucleare, Sezione di Catania",IT,37.49223,15.07041
I4210119109,Indiana University Bloomington,US,39.16533,-86.52639
I135310074,University of Wisconsin–Madison,US,43.07305,-89.40123
I189712700,University of Konstanz,DE,47.66033172607422,9.175820350646973
I4210108754,Enrico Fermi Center for Study and Research,IT,41.89193,12.51133
I21370196,Aristotle University of Thessaloniki,GR,40.64360809326172,22.93086051940918
I4210109752,Research International (United States),US,47.85538101196289,-121.97096252441406
I185261750,University of Toronto,CA,43.70643,-79.39864
I32971472,Yale University,US,41.30815,-72.92816
I1308548392,Santa Fe Institute,US,35.686981201171875,-105.93779754638672
I102197404,Université Paris-Sud,FR,48.69572,2.18727
I16944753,Clarkson University,US,44.66978073120117,-74.98130798339844
I24603500,University of Massachusetts Amherst,US,42.37537,-72.51925
I132053463,Université Libre de Bruxelles,BE,50.85044860839844,4.348780155181885
I4210127902,Leibniz Institute of Plant Genetics and Crop Plant Research,DE,51.82215,11.28661
I126520041,University of Science and Technology of China,CN,31.86389,117.28083
I153976015,University of Ljubljana,SI,46.05107879638672,14.50512981414795
I1282311441,Lawrence Livermore National Laboratory,US,37.68187,-121.76801
I1174212,University of Southern California,US,34.05223,-118.24368
I102322142,"Rutgers, The State University of New Jersey",US,40.48622,-74.45182
I255234318,Universidad de Zaragoza,ES,41.65606,-0.87734
I100066346,University of Stuttgart,DE,48.782318115234375,9.177020072937012
I66867065,East China Normal University,CN,31.222219467163086,121.45806121826172
I141568987,Hong Kong Baptist University,HK,22.27832,114.17469
I200284239,Universidade de Santiago de Compostela,ES,42.88052,-8.54569
I90267481,Umeå University,SE,63.82842,20.25972
I4210110987,IIT@MIT,US,42.362300872802734,-71.09395599365234
I20089843,Princeton University,US,40.34872,-74.65905
I165779595,University of Melbourne,AU,-37.814,144.96332
I1341412227,IBM (United States),US,41.10853958129883,-73.72046661376953
I887064364,University of Amsterdam,NL,52.37403,4.88969
I130194489,University of Alicante,ES,38.34516906738281,-0.48148998618125916
I189158943,University of Milan,IT,45.464271545410156,9.189510345458984
I27357992,Dalian University of Technology,CN,38.9122200012207,121.60221862792969
I84884186,Newcastle University,GB,54.97328,-1.61396
I277688954,Université Paris-Saclay,FR,48.68333,2.13333
I24354313,Universidad de Buenos Aires,AR,-34.61315,-58.37723
I4210109170,Laboratoire de Physique Théorique,FR,43.60426,1.44367
I111088046,Boston University,US,42.35843,-71.05977
I4210130794,"National Institute of Technology, Kochi College",JP,33.54999923706055,133.5333251953125
I79272384,"University of Maryland, Baltimore County",US,39.29037857055664,-76.61219024658203
I157725225,University of Illinois Urbana-Champaign,US,40.11059,-88.20727
I53241121,Fundación Ciencias Exactas y Naturales,AR,-34.542083740234375,-58.44443130493164
I94951947,University of Westminster,GB,51.52202224731445,-0.15460899472236633
I2801919071,University of Illinois System,US,40.110591888427734,-88.20726776123047
I45129253,University College London,GB,51.50853,-0.12574
I25254941,Beijing Normal University,CN,39.9075,116.39723
I241749,University of Cambridge,GB,52.2,0.11667
I130769515,Pennsylvania State University,US,40.79339,-77.86
I130701444,Georgia Institute of Technology,US,33.749,-84.38798
I165799507,Rensselaer Polytechnic Institute,US,42.72840881347656,-73.69178771972656
I170486558,Pompeu Fabra University,ES,41.38879,2.15899
