,0,1
I4210099850,-156,-58
I161318765,66,46
I12097938,145,-464
I2799516425,-14,-9
I887064364,582,45
I1314696892,407,65
I115752224,-2,-30
I889458895,-111,22
I63072094,-593,-72
I183974707,559,-17
I19820366,265,-166
I40120149,-85,-71
I79510175,508,-98
I135310074,-74,16
I33213144,14,-81
I71267560,-325,-18
I122411786,4195,709
I5023651,168,-5
I28407311,-19,41
I2801144803,-52,-27
I139264467,41,-25
I1294671590,1280,143
I129604602,91,-97
I98677209,-194,-38
I174306211,-125,14
I108290504,-464,-41
I4210159940,489,-16
I8087733,-4,35
I861853513,-396,-52
I21370196,22,32
I205783295,958,23
I4210137180,-188,-141
I70983195,70,35
I1306266525,344,391
I99065089,-180,-43
I189210763,-13,-52
I98285908,248,232
I40036882,426,140
I4210105455,31,-3
I63966007,404,306
I277688954,221,-59
I4210122644,-33,-5
I4210146430,104,9
I130769515,-31,-76
I922237871,160,-7
I204465549,296,-72
I4210107105,-102,-16
I4210158571,431,61
I43579087,334,-93
I114457229,361,-35
I157614274,-144,-46
I114090438,45,-269
I4210119109,122,22
I141945490,1,-108
I1299164729,311,0
I4210094059,36,-46
I22299242,390,-5
I79817857,224,-20
I74801974,467,-233
I23946033,-55,-29
I177725633,-161,-96
I76198965,-456,-106
I4210116497,68,-89
I241749,571,54
I4210157426,-53,-56
I157725225,-542,267
I114112103,172,35
I158842170,-10,-11
I184999862,-43,3
I193223587,-105,-24
I78577930,690,51
I2738703131,363,3
I4210127646,-1817,59
I4210101901,-105,-28
I111979921,613,178
I1313323035,-74,-82
I20231570,-859,-73
I118347636,-229,45
I4210160382,-321,-77
I4210126779,-118,-49
I86519309,-210,-9
I59781447,-122,5
I2799714274,-207,-32
I59553526,252,183
I100532134,52,-26
I60134161,-204,-10
I1292875679,273,-43
I2801317473,-248,-17
I20089843,791,216
I4210089183,-54,-106
I165779595,51,-39
I145872427,-25,1
I16097986,-264,-17
I177877127,-72,-89
I9360294,-249,66
I133999245,-65,-138
I2800004676,-205,382
I3130607311,-212,-4
I881766915,-188,-70
I2802090066,380,-31
I887846188,82,-50
I173759888,-1023,-4
I4210128565,237,29
I39343248,-341,-5
I161296585,-18,26
I193291145,-176,-31
I126520041,-336,-62
I130238516,-377,-65
I23732399,280,20
I4210121240,190,-22
I4210124175,441,-189
I51556381,-240,-18
I24943067,60,-47
I4210151704,-73,49
I4210125245,-46,-51
I138549579,107,-77
I4210164580,-59,-81
I59270414,-4,-11
I4210108497,47,7
I2609998029,245,52
I31512782,-71,-230
I2800738734,-106,8
I36258959,63,41
I4104125,-100,-39
I4210156266,-254,-110
I204730241,461,-31
I57093077,146,-117
I7882870,-718,-180
I4210103575,56,-55
I43439940,-66,-182
I95457486,150,402
I50441567,-227,-23
I153374732,-175,-61
I66946132,699,-65
I154570441,1,-16
I39804081,311,24
I875825670,-251,-218
I4210125404,389,-62
I4210133362,-86,15
I159176309,-550,3
I4210108560,-121,27
I4210103661,505,153
I2802340896,-154,-5
I4210142660,-88,-7
I205237279,-21,-5
I151746483,80,-35
I2801628138,91,-205
I2800498218,-68,-31
I79619799,-985,3
I40347166,697,108
I201448701,-14,93
I138689650,-56,-67
I1334627681,396,-24
I84909340,905,183
I135140700,115,-34
I4210148700,-71,-3
I40963666,-518,-63
I159385669,-29,-20
I1343871089,95,-142
