,,source_frequency_this_year,top_3_targets
2005,I1294671590,1951,"[{'target_id': 'I102197404', 'count': 74}, {'target_id': 'I2738703131', 'count': 63}, {'target_id': 'I4210144791', 'count': 58}]"
2005,I123044942,938,"[{'target_id': 'I36258959', 'count': 38}, {'target_id': 'I1294671590', 'count': 34}, {'target_id': 'I4210085935', 'count': 26}]"
2005,I11932220,876,"[{'target_id': 'I36258959', 'count': 31}, {'target_id': 'I1294671590', 'count': 30}, {'target_id': 'I86501945', 'count': 21}]"
2005,I4210144791,658,"[{'target_id': 'I1294671590', 'count': 95}, {'target_id': 'I4210089806', 'count': 30}, {'target_id': 'I4210085935', 'count': 21}]"
2005,I130828816,607,"[{'target_id': 'I1294671590', 'count': 26}, {'target_id': 'I205783295', 'count': 17}, {'target_id': 'I102197404', 'count': 16}]"
2006,I1294671590,1522,"[{'target_id': 'I102197404', 'count': 72}, {'target_id': 'I205783295', 'count': 51}, {'target_id': 'I2738703131', 'count': 49}]"
2006,I2738703131,624,"[{'target_id': 'I1294671590', 'count': 61}, {'target_id': 'I3020098449', 'count': 29}, {'target_id': 'I102197404', 'count': 24}]"
2006,I1282105669,613,"[{'target_id': 'I148283060', 'count': 21}, {'target_id': 'I4210085935', 'count': 17}, {'target_id': 'I125608817', 'count': 15}]"
2006,I201537933,538,"[{'target_id': 'I1294671590', 'count': 26}, {'target_id': 'I4210085935', 'count': 23}, {'target_id': 'I65143321', 'count': 20}]"
2006,I75951250,501,"[{'target_id': 'I4210089806', 'count': 36}, {'target_id': 'I1294671590', 'count': 17}, {'target_id': 'I204250578', 'count': 16}]"
2007,I1294671590,2485,"[{'target_id': 'I102197404', 'count': 151}, {'target_id': 'I2738703131', 'count': 70}, {'target_id': 'I2799857465', 'count': 65}]"
2007,I102197404,723,"[{'target_id': 'I1294671590', 'count': 87}, {'target_id': 'I205783295', 'count': 26}, {'target_id': 'I4210085935', 'count': 25}]"
2007,I2738703131,675,"[{'target_id': 'I1294671590', 'count': 56}, {'target_id': 'I3020098449', 'count': 33}, {'target_id': 'I102197404', 'count': 28}]"
2007,I159176309,649,"[{'target_id': 'I1294671590', 'count': 26}, {'target_id': 'I4210089806', 'count': 21}, {'target_id': 'I171892758', 'count': 20}]"
2007,I62318514,456,"[{'target_id': 'I75951250', 'count': 30}, {'target_id': 'I1294671590', 'count': 18}, {'target_id': 'I4210085935', 'count': 13}]"
2008,I1294671590,2496,"[{'target_id': 'I102197404', 'count': 133}, {'target_id': 'I2738703131', 'count': 94}, {'target_id': 'I3020098449', 'count': 81}]"
2008,I2738703131,778,"[{'target_id': 'I1294671590', 'count': 77}, {'target_id': 'I3020098449', 'count': 60}, {'target_id': 'I4210135251', 'count': 46}]"
2008,I3020098449,754,"[{'target_id': 'I1294671590', 'count': 74}, {'target_id': 'I2738703131', 'count': 62}, {'target_id': 'I4210135251', 'count': 46}]"
2008,I4210135251,690,"[{'target_id': 'I1294671590', 'count': 69}, {'target_id': 'I2738703131', 'count': 51}, {'target_id': 'I3020098449', 'count': 50}]"
2008,I102197404,637,"[{'target_id': 'I1294671590', 'count': 99}, {'target_id': 'I4210120156', 'count': 31}, {'target_id': 'I2799857465', 'count': 25}]"
2009,I1294671590,2603,"[{'target_id': 'I102197404', 'count': 125}, {'target_id': 'I2738703131', 'count': 78}, {'target_id': 'I3020098449', 'count': 61}]"
2009,I102197404,774,"[{'target_id': 'I1294671590', 'count': 105}, {'target_id': 'I73613424', 'count': 28}, {'target_id': 'I201537933', 'count': 26}]"
2009,I2738703131,693,"[{'target_id': 'I1294671590', 'count': 70}, {'target_id': 'I3020098449', 'count': 43}, {'target_id': 'I102197404', 'count': 28}]"
2009,I4210089806,582,"[{'target_id': 'I149899117', 'count': 32}, {'target_id': 'I1294671590', 'count': 20}, {'target_id': 'I4210085935', 'count': 15}]"
2009,I159176309,543,"[{'target_id': 'I4210089806', 'count': 27}, {'target_id': 'I149899117', 'count': 21}, {'target_id': 'I4210085935', 'count': 21}]"
2010,I1294671590,1980,"[{'target_id': 'I102197404', 'count': 92}, {'target_id': 'I2738703131', 'count': 69}, {'target_id': 'I3020098449', 'count': 56}]"
2010,I201537933,844,"[{'target_id': 'I203951103', 'count': 59}, {'target_id': 'I1294671590', 'count': 32}, {'target_id': 'I4387152242', 'count': 29}]"
2010,I177483745,711,"[{'target_id': 'I1294671590', 'count': 73}, {'target_id': 'I2738703131', 'count': 38}, {'target_id': 'I3020098449', 'count': 37}]"
2010,I2738703131,535,"[{'target_id': 'I1294671590', 'count': 69}, {'target_id': 'I3020098449', 'count': 38}, {'target_id': 'I4210135251', 'count': 32}]"
2010,I102197404,520,"[{'target_id': 'I1294671590', 'count': 81}, {'target_id': 'I2799857465', 'count': 27}, {'target_id': 'I205783295', 'count': 17}]"
2011,I1294671590,2379,"[{'target_id': 'I102197404', 'count': 159}, {'target_id': 'I2738703131', 'count': 97}, {'target_id': 'I3020098449', 'count': 62}]"
2011,I2738703131,1501,"[{'target_id': 'I1294671590', 'count': 153}, {'target_id': 'I102197404', 'count': 80}, {'target_id': 'I3020098449', 'count': 63}]"
2011,I177483745,1171,"[{'target_id': 'I1294671590', 'count': 123}, {'target_id': 'I102197404', 'count': 66}, {'target_id': 'I2738703131', 'count': 60}]"
2011,I4210124948,1050,"[{'target_id': 'I1294671590', 'count': 109}, {'target_id': 'I102197404', 'count': 64}, {'target_id': 'I2738703131', 'count': 61}]"
2011,I3020098449,1019,"[{'target_id': 'I1294671590', 'count': 109}, {'target_id': 'I102197404', 'count': 64}, {'target_id': 'I2738703131', 'count': 61}]"
2012,I1294671590,3527,"[{'target_id': 'I102197404', 'count': 200}, {'target_id': 'I2738703131', 'count': 135}, {'target_id': 'I3020098449', 'count': 93}]"
2012,I102197404,1202,"[{'target_id': 'I1294671590', 'count': 200}, {'target_id': 'I2738703131', 'count': 45}, {'target_id': 'I3020098449', 'count': 35}]"
2012,I201537933,1168,"[{'target_id': 'I4387152242', 'count': 50}, {'target_id': 'I4210125833', 'count': 42}, {'target_id': 'I203951103', 'count': 40}]"
2012,I165932596,796,"[{'target_id': 'I1294671590', 'count': 24}, {'target_id': 'I201537933', 'count': 21}, {'target_id': 'I4210085935', 'count': 21}]"
2012,I2738703131,747,"[{'target_id': 'I1294671590', 'count': 68}, {'target_id': 'I3020098449', 'count': 36}, {'target_id': 'I4210135251', 'count': 35}]"
2013,I1294671590,2914,"[{'target_id': 'I102197404', 'count': 197}, {'target_id': 'I2738703131', 'count': 96}, {'target_id': 'I3020098449', 'count': 72}]"
2013,I201537933,1323,"[{'target_id': 'I4210125833', 'count': 52}, {'target_id': 'I4387152242', 'count': 50}, {'target_id': 'I4210086780', 'count': 48}]"
2013,I2738703131,1099,"[{'target_id': 'I1294671590', 'count': 97}, {'target_id': 'I3020098449', 'count': 45}, {'target_id': 'I4210135251', 'count': 38}]"
2013,I102197404,1065,"[{'target_id': 'I1294671590', 'count': 181}, {'target_id': 'I2799857465', 'count': 41}, {'target_id': 'I2738703131', 'count': 30}]"
2013,I4210086780,830,"[{'target_id': 'I201537933', 'count': 109}, {'target_id': 'I117197279', 'count': 31}, {'target_id': 'I4210151476', 'count': 31}]"
2014,I1294671590,2561,"[{'target_id': 'I102197404', 'count': 172}, {'target_id': 'I2738703131', 'count': 115}, {'target_id': 'I3020098449', 'count': 77}]"
2014,I2738703131,1335,"[{'target_id': 'I1294671590', 'count': 134}, {'target_id': 'I3020098449', 'count': 66}, {'target_id': 'I4210135251', 'count': 51}]"
2014,I201537933,1321,"[{'target_id': 'I4210125833', 'count': 86}, {'target_id': 'I4210086780', 'count': 40}, {'target_id': 'I1294671590', 'count': 39}]"
2014,I102197404,971,"[{'target_id': 'I1294671590', 'count': 169}, {'target_id': 'I4210120156', 'count': 38}, {'target_id': 'I2738703131', 'count': 29}]"
2014,I52099693,932,"[{'target_id': 'I201537933', 'count': 50}, {'target_id': 'I4210085935', 'count': 28}, {'target_id': 'I131787340', 'count': 27}]"
2015,I1294671590,2885,"[{'target_id': 'I102197404', 'count': 175}, {'target_id': 'I2738703131', 'count': 112}, {'target_id': 'I3020098449', 'count': 76}]"
2015,I201537933,1372,"[{'target_id': 'I4210086780', 'count': 61}, {'target_id': 'I4210125833', 'count': 49}, {'target_id': 'I1294671590', 'count': 45}]"
2015,I2738703131,839,"[{'target_id': 'I1294671590', 'count': 97}, {'target_id': 'I102197404', 'count': 51}, {'target_id': 'I3020098449', 'count': 42}]"
2015,I197323543,809,"[{'target_id': 'I201537933', 'count': 35}, {'target_id': 'I1294671590', 'count': 30}, {'target_id': 'I74801974', 'count': 23}]"
2015,I899635006,788,"[{'target_id': 'I1294671590', 'count': 87}, {'target_id': 'I2738703131', 'count': 34}, {'target_id': 'I3020098449', 'count': 34}]"
2016,I1294671590,3627,"[{'target_id': 'I102197404', 'count': 196}, {'target_id': 'I2738703131', 'count': 121}, {'target_id': 'I3020098449', 'count': 83}]"
2016,I277688954,1415,"[{'target_id': 'I1294671590', 'count': 174}, {'target_id': 'I102197404', 'count': 110}, {'target_id': 'I2738703131', 'count': 38}]"
2016,I201537933,1399,"[{'target_id': 'I4210125833', 'count': 61}, {'target_id': 'I4210094683', 'count': 49}, {'target_id': 'I4210086780', 'count': 44}]"
2016,I82880672,1195,"[{'target_id': 'I1294671590', 'count': 98}, {'target_id': 'I102197404', 'count': 68}, {'target_id': 'I201537933', 'count': 54}]"
2016,I102197404,1189,"[{'target_id': 'I1294671590', 'count': 173}, {'target_id': 'I4210120156', 'count': 40}, {'target_id': 'I2738703131', 'count': 35}]"
2017,I1294671590,3922,"[{'target_id': 'I102197404', 'count': 196}, {'target_id': 'I2738703131', 'count': 136}, {'target_id': 'I3020098449', 'count': 110}]"
2017,I899635006,1813,"[{'target_id': 'I1294671590', 'count': 160}, {'target_id': 'I2738703131', 'count': 108}, {'target_id': 'I3020098449', 'count': 94}]"
2017,I2738703131,1720,"[{'target_id': 'I1294671590', 'count': 157}, {'target_id': 'I3020098449', 'count': 93}, {'target_id': 'I4210135251', 'count': 71}]"
2017,I4210124948,1685,"[{'target_id': 'I1294671590', 'count': 151}, {'target_id': 'I2738703131', 'count': 107}, {'target_id': 'I3020098449', 'count': 93}]"
2017,I3020098449,1661,"[{'target_id': 'I1294671590', 'count': 151}, {'target_id': 'I2738703131', 'count': 107}, {'target_id': 'I4210135251', 'count': 71}]"
2018,I1294671590,4113,"[{'target_id': 'I102197404', 'count': 200}, {'target_id': 'I2738703131', 'count': 152}, {'target_id': 'I3020098449', 'count': 127}]"
2018,I899635006,2137,"[{'target_id': 'I1294671590', 'count': 177}, {'target_id': 'I2738703131', 'count': 112}, {'target_id': 'I3020098449', 'count': 99}]"
2018,I4210135251,2052,"[{'target_id': 'I1294671590', 'count': 168}, {'target_id': 'I2738703131', 'count': 121}, {'target_id': 'I3020098449', 'count': 108}]"
