,,source_frequency_this_year,top_3_targets
2018,I3020098449,2034,"[{'target_id': 'I1294671590', 'count': 168}, {'target_id': 'I2738703131', 'count': 121}, {'target_id': 'I4210135251', 'count': 90}]"
2018,I2738703131,2021,"[{'target_id': 'I1294671590', 'count': 168}, {'target_id': 'I3020098449', 'count': 108}, {'target_id': 'I4210135251', 'count': 90}]"
2019,I1294671590,2941,"[{'target_id': 'I102197404', 'count': 187}, {'target_id': 'I2738703131', 'count': 119}, {'target_id': 'I3020098449', 'count': 91}]"
2019,I82880672,1626,"[{'target_id': 'I1294671590', 'count': 129}, {'target_id': 'I102197404', 'count': 66}, {'target_id': 'I201537933', 'count': 52}]"
2019,I19820366,1476,"[{'target_id': 'I1294671590', 'count': 65}, {'target_id': 'I4210159876', 'count': 56}, {'target_id': 'I74801974', 'count': 41}]"
2019,I74801974,1429,"[{'target_id': 'I201537933', 'count': 59}, {'target_id': 'I1294671590', 'count': 50}, {'target_id': 'I4210086780', 'count': 34}]"
2019,I71920554,1277,"[{'target_id': 'I1294671590', 'count': 91}, {'target_id': 'I102197404', 'count': 44}, {'target_id': 'I2738703131', 'count': 40}]"
2020,I1294671590,3046,"[{'target_id': 'I102197404', 'count': 121}, {'target_id': 'I2738703131', 'count': 93}, {'target_id': 'I3020098449', 'count': 82}]"
2020,I19820366,1965,"[{'target_id': 'I1294671590', 'count': 73}, {'target_id': 'I4210159876', 'count': 58}, {'target_id': 'I205783295', 'count': 53}]"
2020,I74801974,1877,"[{'target_id': 'I4210132156', 'count': 111}, {'target_id': 'I1294671590', 'count': 72}, {'target_id': 'I62916508', 'count': 42}]"
2020,I4210132156,1599,"[{'target_id': 'I74801974', 'count': 132}, {'target_id': 'I1294671590', 'count': 77}, {'target_id': 'I62916508', 'count': 59}]"
2020,I201537933,1512,"[{'target_id': 'I4210125833', 'count': 87}, {'target_id': 'I1294671590', 'count': 59}, {'target_id': 'I74801974', 'count': 41}]"
2021,I1294671590,3415,"[{'target_id': 'I102197404', 'count': 150}, {'target_id': 'I2738703131', 'count': 138}, {'target_id': 'I3020098449', 'count': 124}]"
2021,I19820366,3262,"[{'target_id': 'I205783295', 'count': 152}, {'target_id': 'I1294671590', 'count': 116}, {'target_id': 'I4210159876', 'count': 116}]"
2021,I74801974,2194,"[{'target_id': 'I4210132156', 'count': 140}, {'target_id': 'I1294671590', 'count': 63}, {'target_id': 'I201537933', 'count': 63}]"
2021,I4210132156,2171,"[{'target_id': 'I74801974', 'count': 99}, {'target_id': 'I77430839', 'count': 94}, {'target_id': 'I1294671590', 'count': 75}]"
2021,I82880672,1948,"[{'target_id': 'I1294671590', 'count': 95}, {'target_id': 'I201537933', 'count': 60}, {'target_id': 'I153267046', 'count': 43}]"
2022,I19820366,3820,"[{'target_id': 'I205783295', 'count': 157}, {'target_id': 'I1294671590', 'count': 124}, {'target_id': 'I201537933', 'count': 115}]"
2022,I1294671590,3071,"[{'target_id': 'I102197404', 'count': 96}, {'target_id': 'I899635006', 'count': 86}, {'target_id': 'I2738703131', 'count': 80}]"
2022,I74801974,2384,"[{'target_id': 'I4210132156', 'count': 204}, {'target_id': 'I205349734', 'count': 95}, {'target_id': 'I201537933', 'count': 77}]"
2022,I82880672,2129,"[{'target_id': 'I1294671590', 'count': 100}, {'target_id': 'I201537933', 'count': 90}, {'target_id': 'I74801974', 'count': 61}]"
2022,I35440088,2042,"[{'target_id': 'I1294671590', 'count': 123}, {'target_id': 'I201537933', 'count': 68}, {'target_id': 'I2738703131', 'count': 62}]"
2023,I1294671590,3648,"[{'target_id': 'I102197404', 'count': 123}, {'target_id': 'I2738703131', 'count': 112}, {'target_id': 'I277688954', 'count': 110}]"
2023,I19820366,3568,"[{'target_id': 'I205783295', 'count': 157}, {'target_id': 'I1294671590', 'count': 130}, {'target_id': 'I4210149211', 'count': 86}]"
2023,I4210165038,3149,"[{'target_id': 'I205783295', 'count': 136}, {'target_id': 'I19820366', 'count': 134}, {'target_id': 'I201537933', 'count': 122}]"
2023,I201537933,2379,"[{'target_id': 'I74801974', 'count': 76}, {'target_id': 'I4210125833', 'count': 74}, {'target_id': 'I1294671590', 'count': 74}]"
2023,I82880672,1931,"[{'target_id': 'I1294671590', 'count': 85}, {'target_id': 'I201537933', 'count': 41}, {'target_id': 'I63966007', 'count': 40}]"
2024,I19820366,3763,"[{'target_id': 'I4210159876', 'count': 110}, {'target_id': 'I4210165038', 'count': 106}, {'target_id': 'I1294671590', 'count': 105}]"
2024,I1294671590,3287,"[{'target_id': 'I277688954', 'count': 101}, {'target_id': 'I102197404', 'count': 99}, {'target_id': 'I4210120156', 'count': 96}]"
2024,I4210165038,2532,"[{'target_id': 'I19820366', 'count': 125}, {'target_id': 'I4210159876', 'count': 83}, {'target_id': 'I1294671590', 'count': 81}]"
2024,I4210159876,2235,"[{'target_id': 'I19820366', 'count': 100}, {'target_id': 'I1294671590', 'count': 74}, {'target_id': 'I4210165038', 'count': 69}]"
2024,I99065089,1494,"[{'target_id': 'I1294671590', 'count': 60}, {'target_id': 'I205783295', 'count': 45}, {'target_id': 'I197323543', 'count': 42}]"
2025,I19820366,2493,"[{'target_id': 'I205783295', 'count': 91}, {'target_id': 'I1294671590', 'count': 87}, {'target_id': 'I4210165038', 'count': 69}]"
2025,I201537933,1894,"[{'target_id': 'I74801974', 'count': 79}, {'target_id': 'I4210125833', 'count': 69}, {'target_id': 'I1294671590', 'count': 61}]"
2025,I82880672,1577,"[{'target_id': 'I1294671590', 'count': 64}, {'target_id': 'I165932596', 'count': 48}, {'target_id': 'I201537933', 'count': 43}]"
2025,I47720641,1401,"[{'target_id': 'I1294671590', 'count': 38}, {'target_id': 'I19820366', 'count': 29}, {'target_id': 'I201537933', 'count': 26}]"
2025,I74801974,1238,"[{'target_id': 'I4210132156', 'count': 48}, {'target_id': 'I201537933', 'count': 43}, {'target_id': 'I4210122644', 'count': 34}]"
