,0,1
I2800875726,242,2
I159176309,70,-57
I4210128565,19,-23
I4210120900,-63,69
I201324441,-97,2
I4210159876,501,-157
I4210135147,-68,-97
I63966007,933,256
I4210152187,90,-14
I108103353,-54,-11
I99065089,-278,-46
I4391768004,-99,-16
I9340077,-31,16
I185103710,-58,-58
I59411706,-162,-73
I4210120156,743,86
I169108374,65,-29
I204778367,118,-22
I74801974,872,-196
I126520041,-311,-61
I4210108106,-184,-24
I25112270,-3,17
I157485424,100,15
I194450716,-53,-46
I36258959,313,442
I123387679,69,20
I76569877,-281,-30
I73613424,254,-16
I4210089806,500,-32
I4210125833,-60,-29
I123044942,-28,-788
I126231945,22,2
I94310126,-549,-10
I190082696,73,40
I86501945,30,117
I4210125245,-60,-42
I4210091279,-18,-4
I1282105669,226,-48
I76130692,-683,-22
I157725225,115,35
I219193219,108,29
I10457146,-403,-23
I16733864,1,-18
I92403157,-973,-56
I129774422,-185,-215
I19880235,-126,8
I205349734,-374,-57
I96673099,41,83
I4210087521,-120,-5
I4210085935,462,761
I165932596,644,-153
I4210135798,-144,-39
I94624287,47,-55
I255234318,8,-30
I154099455,-42,-11
I3020098449,856,-93
I4210114974,160,29
I200870766,-32,49
I93860229,45,-87
I145311948,208,91
I145872427,358,-3
I130828816,86,-481
I25846049,-76,-19
I241749,180,26
I2738703131,921,-111
I169381384,219,86
I899635006,667,-33
I98358874,239,67
I75951250,39,54
I1304132090,-51,-14
I98285908,126,87
I4210102261,39,2
I52357470,201,-6
I1321296531,360,227
I887968799,-11,20
I200769079,82,31
I171892758,395,149
I99464096,63,-123
I69740276,-24,-25
I99542240,-46,-42
I149851306,77,-25
I74973139,166,265
I4210115749,-57,-75
I52099693,135,-62
I148366613,14,-10
I123900574,74,-4
I97018004,270,140
I4210123402,146,111
I150744194,-449,-22
I205274468,-8,-139
I20121455,-40,-28
I145847075,205,89
I2802229908,-72,18
I4210135251,560,-151
I162868743,-255,-33
I111979921,130,32
I24943067,-737,-63
I4210140493,-96,-4
I165339363,-73,3
I27804330,75,46
I17301866,50,-19
I205401836,146,-27
I165799507,-51,-31
I4387152242,48,-18
I130769515,51,32
I4210118429,-208,-26
I21250087,167,-24
I1294671590,2885,-666
I55732556,5,-35
I39804081,-229,36
I20231570,-240,6
I185443292,-116,0
I4210157559,-17,-41
I68956291,-198,-6
I4210136458,-197,-29
I63634437,-9,-43
I69737025,-311,-13
I189238007,66,-51
I4210106422,-114,-43
I881766915,-356,-57
I201537933,-96,248
I223532165,-17,5
I31512782,-228,-5
I4210114115,22,425
I2802473995,-36,-41
I143868143,-205,-74
I2802789608,35,-14
I189712700,-121,-129
I1341412227,152,377
I4210088365,60,37
I4210126328,75,64
I197347611,64,-56
I113306721,40,19
I76214153,-683,-28
I172675005,-482,-68
I4210132317,-259,-22
I95457486,550,97
I62318514,-37,-276
I148283060,158,-120
I5124864,-383,-1
I114531698,63,32
I130238516,-139,-35
I7882870,-73,20
I177721651,33,-68
I19820366,-659,-140
I153267046,258,76
I139264467,-91,-80
I150229711,-212,-17
I205783295,1176,310
I22299242,343,31
I3018417779,78,-44
I197323543,263,13
I114395901,165,-39
I204250578,16,62
I4210110652,-117,-72
I4210122644,563,28
I2799857465,216,127
I189196454,-5,-51
I91045830,4,-44
I35440088,-69,50
I86987016,-28,-24
I201448701,125,-6
I4210129794,-156,-1
I83019370,154,54
