,0,1
I1294671590,-83,-165
I36258959,295,427
I114090438,23,108
I1325886976,-70,10
I152031979,35,-79
I76130692,-34,-29
I4210156583,87,203
I99464096,21,1
I100066346,-37,-3
I162714631,-19,6
I140172145,-35,-24
I91045830,-26,22
I31512782,-78,-12
I184558857,151,58
I40347166,-82,43
I151746483,128,13
I204983213,-44,0
I29607241,232,-22
I219193219,-17,-330
I157725225,-58,-27
I169689159,-110,-56
I20089843,85,-98
I5124864,54,-63
I183067930,-106,-470
I4210139461,-2,-121
I99065089,-236,-38
I47720641,-25,-33
I65143321,-28,-63
I102335020,-32,-23
I79619799,-4,-36
I186903577,10,-11
I35440088,6,-34
I114531698,-100,-61
I74973139,90,-29
I134446601,-6,-64
I4210103330,94,124
I204337017,368,226
I3005327000,25,-273
I87445476,-16,-3
I129774422,-19,-19
I40120149,-15,-2
I185103710,-48,13
I142476485,17,-78
I201448701,-35,-32
I150312865,-13,-76
I13955877,124,-39
I20529979,16,-21
I161296585,-136,-12
I153718931,-61,-52
I204250578,61,-47
I172675005,114,10
I53964585,439,350
I56590836,51,39
I5023651,11,-14
I139264467,96,-115
I86519309,61,-4
I57206974,-18,-133
I154099455,3,0
I27837315,66,12
I95457486,325,160
I16733864,-24,-16
I63966007,303,404
I177725633,77,-298
I889458895,41,-304
I32971472,-134,-8
I20231570,24,3
I19820366,76,-408
I149594827,113,-245
I168719708,93,-54
I157773358,13,-82
I1324840837,13,114
I130701444,90,-79
I4210160054,-42,-27
I4210133125,-54,3
I108290504,-10,-32
I125687163,-34,38
I157485424,16,45
I66946132,122,-47
I74801974,-201,-99
I56085075,-77,-25
I22299242,-19,-8
I19370010,54,-70
I162577319,-7,-28
I4800084,-53,-13
I185261750,57,17
I197347611,25,-45
I174306211,195,225
I163151501,-24,-12
I1341640284,169,182
I4210156404,-142,-3
I1326498283,336,-183
I99043593,18,48
I4210126328,117,-14
I79891267,108,-36
I16391192,259,-2
I118347220,-2,-61
I131729948,-3,8
I97018004,746,692
I4210128818,-32,-203
I200769079,40,-37
I204824540,44,-186
I83019370,-22,5
