,0
"(2005, ('I1294671590', 'I4210144791'))",58.0
"(2005, ('I1294671590', 'I2738703131'))",41.0
"(2005, ('I2738703131', 'I3020098449'))",34.0
"(2005, ('I3020098449', 'I1294671590'))",30.0
"(2005, ('I1294671590', 'I102197404'))",28.0
"(2006, ('I1294671590', 'I102197404'))",57.0
"(2006, ('I1294671590', 'I2738703131'))",49.0
"(2006, ('I1294671590', 'I3020098449'))",32.0
"(2006, ('I3020098449', 'I2738703131'))",29.0
"(2006, ('I1294671590', 'I201537933'))",26.0
"(2007, ('I102197404', 'I1294671590'))",87.0
"(2007, ('I1294671590', 'I2738703131'))",56.0
"(2007, ('I1294671590', 'I2799857465'))",51.0
"(2007, ('I1294671590', 'I4210123402'))",42.0
"(2007, ('I1294671590', 'I3020098449'))",41.0
"(2008, ('I102197404', 'I1294671590'))",99.0
"(2008, ('I1294671590', 'I2738703131'))",77.0
"(2008, ('I1294671590', 'I3020098449'))",74.0
"(2008, ('I2738703131', 'I3020098449'))",60.0
"(2008, ('I1294671590', 'I4210135251'))",52.0
"(2009, ('I1294671590', 'I102197404'))",105.0
"(2009, ('I1294671590', 'I2738703131'))",70.0
"(2009, ('I1294671590', 'I3020098449'))",57.0
"(2009, ('I3020098449', 'I2738703131'))",43.0
"(2009, ('I1294671590', 'I4210135251'))",42.0
"(2010, ('I102197404', 'I1294671590'))",81.0
"(2010, ('I1294671590', 'I2738703131'))",69.0
"(2010, ('I1294671590', 'I3020098449'))",56.0
"(2010, ('I2738703131', 'I3020098449'))",38.0
"(2010, ('I1294671590', 'I4210135251'))",37.0
"(2011, ('I1294671590', 'I102197404'))",104.0
"(2011, ('I2738703131', 'I1294671590'))",97.0
"(2011, ('I1294671590', 'I3020098449'))",62.0
"(2011, ('I2738703131', 'I3020098449'))",61.0
"(2011, ('I1294671590', 'I4210135251'))",54.0
"(2012, ('I102197404', 'I1294671590'))",200.0
"(2012, ('I1294671590', 'I2738703131'))",68.0
"(2012, ('I1294671590', 'I177483745'))",60.0
"(2012, ('I1294671590', 'I3020098449'))",49.0
"(2012, ('I1294671590', 'I4210124948'))",45.0
"(2013, ('I1294671590', 'I102197404'))",181.0
"(2013, ('I1294671590', 'I2738703131'))",96.0
"(2013, ('I4210125833', 'I201537933'))",52.0
"(2013, ('I201537933', 'I4210086780'))",48.0
"(2013, ('I1294671590', 'I3020098449'))",47.0
"(2014, ('I102197404', 'I1294671590'))",169.0
"(2014, ('I2738703131', 'I1294671590'))",115.0
"(2014, ('I3020098449', 'I1294671590'))",75.0
"(2014, ('I1294671590', 'I4210135251'))",66.0
"(2014, ('I3020098449', 'I2738703131'))",62.0
"(2015, ('I102197404', 'I1294671590'))",153.0
"(2015, ('I2738703131', 'I1294671590'))",97.0
"(2015, ('I3020098449', 'I1294671590'))",76.0
"(2015, ('I4210086780', 'I201537933'))",61.0
"(2015, ('I4210135251', 'I1294671590'))",56.0
"(2016, ('I102197404', 'I1294671590'))",173.0
"(2016, ('I1294671590', 'I2738703131'))",97.0
"(2016, ('I1294671590', 'I3020098449'))",83.0
"(2016, ('I1294671590', 'I4210135251'))",74.0
"(2016, ('I1294671590', 'I899635006'))",72.0
"(2017, ('I1294671590', 'I2738703131'))",136.0
"(2017, ('I102197404', 'I1294671590'))",134.0
"(2017, ('I1294671590', 'I3020098449'))",110.0
"(2017, ('I3020098449', 'I2738703131'))",93.0
"(2017, ('I1294671590', 'I4210135251'))",90.0
"(2018, ('I1294671590', 'I2738703131'))",152.0
"(2018, ('I3020098449', 'I1294671590'))",127.0
"(2018, ('I1294671590', 'I102197404'))",122.0
"(2018, ('I4210124948', 'I1294671590'))",110.0
"(2018, ('I3020098449', 'I2738703131'))",108.0
"(2019, ('I102197404', 'I1294671590'))",132.0
"(2019, ('I1294671590', 'I2738703131'))",105.0
"(2019, ('I1294671590', 'I899635006'))",83.0
"(2019, ('I277688954', 'I1294671590'))",76.0
"(2019, ('I1294671590', 'I3020098449'))",73.0
"(2020, ('I74801974', 'I4210132156'))",111.0
"(2020, ('I4210125833', 'I201537933'))",86.0
"(2020, ('I277688954', 'I1294671590'))",69.0
"(2020, ('I899635006', 'I1294671590'))",62.0
"(2020, ('I4210120156', 'I1294671590'))",51.0
"(2021, ('I2738703131', 'I1294671590'))",138.0
"(2021, ('I3020098449', 'I1294671590'))",124.0
"(2021, ('I899635006', 'I1294671590'))",119.0
"(2021, ('I4210135251', 'I1294671590'))",101.0
"(2021, ('I4210132156', 'I74801974'))",99.0
"(2022, ('I74801974', 'I205349734'))",95.0
"(2022, ('I899635006', 'I1294671590'))",86.0
"(2022, ('I2738703131', 'I1294671590'))",80.0
"(2022, ('I3020098449', 'I1294671590'))",75.0
"(2022, ('I4210135251', 'I1294671590'))",67.0
"(2023, ('I1294671590', 'I2738703131'))",112.0
"(2023, ('I277688954', 'I1294671590'))",110.0
"(2023, ('I19820366', 'I4210149211'))",86.0
"(2023, ('I1294671590', 'I899635006'))",81.0
"(2023, ('I4210165038', 'I19820366'))",79.0
"(2024, ('I19820366', 'I4210165038'))",106.0
"(2024, ('I19820366', 'I4210159876'))",100.0
"(2024, ('I277688954', 'I1294671590'))",96.0
"(2024, ('I1294671590', 'I2738703131'))",70.0
"(2024, ('I1294671590', 'I899635006'))",69.0
"(2025, ('I19820366', 'I4210165038'))",56.0
"(2025, ('I19820366', 'I4210149211'))",56.0
"(2025, ('I74801974', 'I4210132156'))",48.0
"(2025, ('I74801974', 'I201537933'))",43.0
"(2025, ('I201537933', 'I4210125833'))",35.0
