,0
"(2005, ('I28407311', 'I4210108497'))",80.0
"(2005, ('I122411786', 'I4210127646'))",56.0
"(2005, ('I4210127646', 'I149899117'))",42.0
"(2005, ('I74801974', 'I165953009'))",37.0
"(2005, ('I122411786', 'I149899117'))",31.0
"(2006, ('I28407311', 'I4210108497'))",41.0
"(2006, ('I1292875679', 'I1299164729'))",32.0
"(2006, ('I74801974', 'I157725225'))",32.0
"(2006, ('I165953009', 'I74801974'))",28.0
"(2006, ('I122411786', 'I4210127646'))",28.0
"(2007, ('I4210127646', 'I149899117'))",103.0
"(2007, ('I4210127646', 'I122411786'))",40.0
"(2007, ('I4210127646', 'I1306266525'))",30.0
"(2007, ('I149899117', 'I122411786'))",28.0
"(2007, ('I122411786', 'I1306266525'))",26.0
"(2008, ('I4210127646', 'I149899117'))",66.0
"(2008, ('I4210127646', 'I122411786'))",61.0
"(2008, ('I122411786', 'I149899117'))",36.0
"(2008, ('I74801974', 'I157725225'))",30.0
"(2008, ('I205783295', 'I122411786'))",29.0
"(2009, ('I122411786', 'I4210127646'))",82.0
"(2009, ('I149899117', 'I4210127646'))",78.0
"(2009, ('I122411786', 'I149899117'))",63.0
"(2009, ('I1299164729', 'I1292875679'))",50.0
"(2009, ('I122411786', 'I130769515'))",46.0
"(2010, ('I149899117', 'I4210127646'))",80.0
"(2010, ('I122411786', 'I4210127646'))",76.0
"(2010, ('I1299164729', 'I1292875679'))",56.0
"(2010, ('I149899117', 'I122411786'))",55.0
"(2010, ('I4210127646', 'I114112103'))",39.0
"(2011, ('I122411786', 'I4210127646'))",69.0
"(2011, ('I4210127646', 'I149899117'))",47.0
"(2011, ('I122411786', 'I66946132'))",41.0
"(2011, ('I122411786', 'I1294671590'))",40.0
"(2011, ('I122411786', 'I76198965'))",36.0
"(2012, ('I4210127646', 'I122411786'))",79.0
"(2012, ('I4210127646', 'I149899117'))",69.0
"(2012, ('I122411786', 'I149899117'))",63.0
"(2012, ('I170201317', 'I4210127646'))",41.0
"(2012, ('I1294671590', 'I122411786'))",39.0
"(2013, ('I122411786', 'I4210127646'))",153.0
"(2013, ('I149899117', 'I4210127646'))",102.0
"(2013, ('I122411786', 'I149899117'))",73.0
"(2013, ('I122411786', 'I205783295'))",46.0
"(2013, ('I4210127646', 'I114112103'))",41.0
"(2014, ('I122411786', 'I4210127646'))",123.0
"(2014, ('I149899117', 'I4210127646'))",86.0
"(2014, ('I149899117', 'I122411786'))",75.0
"(2014, ('I1292875679', 'I1299164729'))",68.0
"(2014, ('I1294671590', 'I122411786'))",55.0
"(2015, ('I122411786', 'I4210127646'))",122.0
"(2015, ('I1299164729', 'I1292875679'))",94.0
"(2015, ('I4210127646', 'I149899117'))",60.0
"(2015, ('I4210146430', 'I1292875679'))",59.0
"(2015, ('I1299164729', 'I4210146430'))",50.0
"(2016, ('I122411786', 'I4210127646'))",216.0
"(2016, ('I122411786', 'I1294671590'))",99.0
"(2016, ('I122411786', 'I79619799'))",72.0
"(2016, ('I122411786', 'I79510175'))",68.0
"(2016, ('I122411786', 'I4210110940'))",67.0
"(2017, ('I122411786', 'I4210127646'))",166.0
"(2017, ('I1292875679', 'I1299164729'))",79.0
"(2017, ('I1292875679', 'I4210146430'))",59.0
"(2017, ('I122411786', 'I63966007'))",56.0
"(2017, ('I1299164729', 'I4210146430'))",54.0
"(2018, ('I122411786', 'I4210127646'))",93.0
"(2018, ('I122411786', 'I79510175'))",60.0
"(2018, ('I122411786', 'I1294671590'))",52.0
"(2018, ('I4210158571', 'I28407311'))",49.0
"(2018, ('I4210127646', 'I114112103'))",44.0
"(2019, ('I122411786', 'I4210127646'))",192.0
"(2019, ('I122411786', 'I1294671590'))",101.0
"(2019, ('I122411786', 'I205783295'))",82.0
"(2019, ('I122411786', 'I79619799'))",77.0
"(2019, ('I122411786', 'I20089843'))",74.0
"(2020, ('I122411786', 'I4210127646'))",179.0
"(2020, ('I4210127646', 'I114112103'))",118.0
"(2020, ('I122411786', 'I79510175'))",115.0
"(2020, ('I56590836', 'I4210126807'))",114.0
"(2020, ('I4210165038', 'I19820366'))",106.0
"(2021, ('I122411786', 'I4210127646'))",285.0
"(2021, ('I114112103', 'I4210127646'))",130.0
"(2021, ('I122411786', 'I1294671590'))",127.0
"(2021, ('I122411786', 'I79510175'))",119.0
"(2021, ('I122411786', 'I63966007'))",115.0
"(2022, ('I4210127646', 'I122411786'))",243.0
"(2022, ('I19820366', 'I4210164580'))",108.0
"(2022, ('I4210127646', 'I114112103'))",108.0
"(2022, ('I19820366', 'I4210165038'))",101.0
"(2022, ('I122411786', 'I114112103'))",87.0
"(2023, ('I114112103', 'I4210127646'))",122.0
"(2023, ('I122411786', 'I4210127646'))",98.0
"(2023, ('I4210165038', 'I19820366'))",93.0
"(2023, ('I4210164580', 'I19820366'))",84.0
"(2023, ('I4210126807', 'I122411786'))",72.0
"(2024, ('I122411786', 'I4210127646'))",126.0
"(2024, ('I1292875679', 'I1299164729'))",82.0
"(2024, ('I4210127646', 'I114112103'))",81.0
"(2024, ('I4210165038', 'I19820366'))",67.0
"(2024, ('I4210127646', 'I1294671590'))",66.0
"(2025, ('I122411786', 'I4210127646'))",139.0
"(2025, ('I4210127646', 'I79619799'))",71.0
"(2025, ('I4210127646', 'I76198965'))",69.0
"(2025, ('I4210127646', 'I157725225'))",60.0
"(2025, ('I4210127646', 'I50441567'))",56.0
