,name,country,coords
https://openalex.org/I57206974,New York University,US,"(40.714271545410156, -74.00596618652344)"
https://openalex.org/I140172145,University of Connecticut,US,"(41.80842971801758, -72.24951934814453)"
https://openalex.org/I4210158342,Intel (United Kingdom),GB,"(51.543094635009766, -1.77155601978302)"
https://openalex.org/I197251160,Hebrew University of Jerusalem,IL,"(31.76904, 35.21633)"
https://openalex.org/I173498003,Palo Alto Research Center,US,"(37.40271759033203, -122.14799499511719)"
https://openalex.org/I204824540,University of Wollongong,AU,"(-34.42399978637695, 150.89344787597656)"
https://openalex.org/I177725633,Chinese University of Hong Kong,CN,"(22.27832, 114.17469)"
https://openalex.org/I161318765,"University of California, Los Angeles",US,"(34.05223, -118.24368)"
https://openalex.org/I16391192,Tel Aviv University,IL,"(32.08088, 34.78057)"
https://openalex.org/I136199984,Harvard University,US,"(42.3751, -71.10561)"
https://openalex.org/I74973139,Carnegie Mellon University,US,"(40.44062, -79.99589)"
https://openalex.org/I4210161954,Département d'Informatique,FR,"(48.85341, 2.3488)"
https://openalex.org/I17974374,Universidade de São Paulo,BR,"(-23.5475, -46.63611)"
https://openalex.org/I150149174,Mercer University,US,"(32.84069061279297, -83.63240051269531)"
https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,CH,"(46.516, 6.63282)"
https://openalex.org/I123900574,Pohang University of Science and Technology,KR,"(36.029170989990234, 129.36480712890625)"
https://openalex.org/I84218800,"University of California, Davis",US,"(38.54491, -121.74052)"
https://openalex.org/I130769515,Pennsylvania State University,US,"(40.79339, -77.86)"
https://openalex.org/I2799798094,UCLA Health,US,"(34.05223, -118.24368)"
https://openalex.org/I121297525,Hebrew College,US,"(42.32658004760742, -71.18930053710938)"
https://openalex.org/I197347611,Korea University,KR,"(37.566, 126.9784)"
https://openalex.org/I66946132,"University of Maryland, College Park",US,"(38.98067, -76.93692)"
https://openalex.org/I12356871,Télécom Paris,FR,"(48.71828, 2.2498)"
https://openalex.org/I1324840837,Hewlett-Packard (United States),US,"(37.41238021850586, -122.14872741699219)"
https://openalex.org/I114090438,Goethe University Frankfurt,DE,"(50.11552, 8.68417)"
https://openalex.org/I1341640284,Centrum Wiskunde & Informatica,NL,"(52.37403, 4.88969)"
https://openalex.org/I736929005,College of Western Idaho,US,"(43.615116119384766, -116.50716400146484)"
https://openalex.org/I43579087,University of Wisconsin–Milwaukee,US,"(43.03889846801758, -87.9064712524414)"
https://openalex.org/I27804330,Brown University,US,"(41.82399, -71.41283)"
https://openalex.org/I185261750,University of Toronto,CA,"(43.70643, -79.39864)"
https://openalex.org/I1331727996,Alfred P. Sloan Foundation,US,"(40.71427, -74.00597)"
https://openalex.org/I126744593,"University of Maryland, Baltimore",US,"(39.29038, -76.61219)"
https://openalex.org/I72090969,Nokia (United States),US,"(32.894039154052734, -96.96580505371094)"
https://openalex.org/I4210160054,Cybernetica (Estonia),EE,"(59.43696, 24.75353)"
https://openalex.org/I56085075,University of Tartu,EE,"(58.380619049072266, 26.72509002685547)"
https://openalex.org/I1298353152,SRI International,US,"(37.45383071899414, -122.18218994140625)"
https://openalex.org/I13955877,Bar-Ilan University,IL,"(32.08227, 34.81065)"
https://openalex.org/I130701444,Georgia Institute of Technology,US,"(33.749, -84.38798)"
https://openalex.org/I861853513,Sapienza University of Rome,IT,"(41.89193, 12.51133)"
https://openalex.org/I3005327000,Institute for Infocomm Research,SG,"(1.3038229942321777, 103.78490447998047)"
https://openalex.org/I4210110987,IIT@MIT,US,"(42.362300872802734, -71.09395599365234)"
https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,"(48.85341, 2.3488)"
https://openalex.org/I1326498283,Institut national de recherche en informatique et en automatique,FR,"(48.8205, 2.1311)"
https://openalex.org/I65143321,Hitachi (Japan),JP,"(35.68949890136719, 139.69171142578125)"
https://openalex.org/I20529979,University of Electro-Communications,JP,"(35.65583419799805, 139.54417419433594)"
https://openalex.org/I95674353,UCLouvain,BE,"(50.66828918457031, 4.614429950714111)"
https://openalex.org/I1743320,Palo Alto University,US,"(37.38228225708008, -122.18754577636719)"
https://openalex.org/I86519309,The University of Texas at Austin,US,"(30.26715, -97.74306)"
https://openalex.org/I889458895,University of Hong Kong,HK,"(22.26861, 114.12924)"
https://openalex.org/I4210099336,Menlo School,US,"(37.46133, -122.19774)"
https://openalex.org/I1290206253,Microsoft (United States),US,"(47.67399, -122.12151)"
https://openalex.org/I91203450,University of Haifa,IL,"(32.81303, 34.99928)"
https://openalex.org/I20089843,Princeton University,US,"(40.34872, -74.65905)"
https://openalex.org/I180519160,Copenhagen Business School,DK,"(55.675941467285156, 12.565529823303223)"
https://openalex.org/I107077323,Worcester Polytechnic Institute,US,"(42.26259, -71.80229)"
https://openalex.org/I4210164937,Microsoft Research (United Kingdom),GB,"(52.19491958618164, 0.13490499556064606)"
https://openalex.org/I180949307,Illinois Institute of Technology,US,"(41.85002899169922, -87.6500473022461)"
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,US,"(40.11059, -88.20727)"
https://openalex.org/I4210121786,Max Planck Institute for Software Systems,DE,"(49.23262023925781, 7.009819984436035)"
https://openalex.org/I139660479,Central South University,CN,"(28.19874, 112.97087)"
https://openalex.org/I83019370,Eindhoven University of Technology,NL,"(51.44083, 5.47778)"
https://openalex.org/I118118575,New Jersey Institute of Technology,US,"(40.735660552978516, -74.17237091064453)"
https://openalex.org/I131729948,University of Salerno,IT,"(40.771751403808594, 14.794540405273438)"
https://openalex.org/I31512782,Technical University of Darmstadt,DE,"(49.87167, 8.65027)"
https://openalex.org/I124227911,Ben-Gurion University of the Negev,IL,"(31.25181, 34.7913)"
https://openalex.org/I51556381,University of Virginia,US,"(38.02931, -78.47668)"
https://openalex.org/I99065089,Tsinghua University,CN,"(39.9075, 116.39723)"
https://openalex.org/I186903577,University of Luxembourg,LU,"(49.60982, 6.13268)"
https://openalex.org/I121980950,Utah State University,US,"(41.73548889160156, -111.83438873291016)"
https://openalex.org/I4210103279,IBM Research - India,IN,"(28.543174743652344, 77.14822387695312)"
https://openalex.org/I151746483,University of Waterloo,CA,"(43.4668, -80.51639)"
https://openalex.org/I4400600948,Microsoft Research New England (United States),,"(42.3751, -71.10561)"
https://openalex.org/I162577319,The University of Texas at Dallas,US,"(32.94818, -96.72972)"
https://openalex.org/I1330693074,Walmart (United States),US,"(36.37285, -94.20882)"
