,,source_frequency_this_year,top_3_targets
2008,I204824540,331,"[{'target_id': 'I97018004', 'count': 27}, {'target_id': 'I1341412227', 'count': 16}, {'target_id': 'I53964585', 'count': 13}]"
2008,I1326498283,286,"[{'target_id': 'I29607241', 'count': 20}, {'target_id': 'I97018004', 'count': 16}, {'target_id': 'I1294671590', 'count': 15}]"
2008,I36258959,282,"[{'target_id': 'I1341412227', 'count': 21}, {'target_id': 'I53964585', 'count': 17}, {'target_id': 'I97018004', 'count': 16}]"
2008,I24676775,281,"[{'target_id': 'I35440088', 'count': 16}, {'target_id': 'I56590836', 'count': 12}, {'target_id': 'I95457486', 'count': 11}]"
2009,I204824540,487,"[{'target_id': 'I97018004', 'count': 32}, {'target_id': 'I53964585', 'count': 20}, {'target_id': 'I36258959', 'count': 19}]"
2009,I1294671590,483,"[{'target_id': 'I97018004', 'count': 38}, {'target_id': 'I1341640284', 'count': 24}, {'target_id': 'I1341412227', 'count': 20}]"
2009,I183067930,461,"[{'target_id': 'I97018004', 'count': 47}, {'target_id': 'I53964585', 'count': 22}, {'target_id': 'I1341412227', 'count': 17}]"
2009,I1341640284,412,"[{'target_id': 'I97018004', 'count': 26}, {'target_id': 'I204337017', 'count': 21}, {'target_id': 'I1341412227', 'count': 21}]"
2009,I57206974,354,"[{'target_id': 'I97018004', 'count': 22}, {'target_id': 'I36258959', 'count': 15}, {'target_id': 'I53964585', 'count': 15}]"
2010,I1294671590,636,"[{'target_id': 'I97018004', 'count': 40}, {'target_id': 'I1326498283', 'count': 26}, {'target_id': 'I36258959', 'count': 24}]"
2010,I31512782,530,"[{'target_id': 'I36258959', 'count': 39}, {'target_id': 'I204250578', 'count': 26}, {'target_id': 'I1341412227', 'count': 24}]"
2010,I1326498283,451,"[{'target_id': 'I97018004', 'count': 35}, {'target_id': 'I1294671590', 'count': 25}, {'target_id': 'I36258959', 'count': 18}]"
2010,I53964585,392,"[{'target_id': 'I63966007', 'count': 27}, {'target_id': 'I174306211', 'count': 26}, {'target_id': 'I97018004', 'count': 22}]"
2010,I183067930,302,"[{'target_id': 'I97018004', 'count': 34}, {'target_id': 'I1341412227', 'count': 23}, {'target_id': 'I53964585', 'count': 13}]"
2011,I1294671590,553,"[{'target_id': 'I97018004', 'count': 29}, {'target_id': 'I36258959', 'count': 22}, {'target_id': 'I29607241', 'count': 21}]"
2011,I2251713219,418,"[{'target_id': 'I97018004', 'count': 16}, {'target_id': 'I1341412227', 'count': 15}, {'target_id': 'I57206974', 'count': 15}]"
2011,I3005327000,408,"[{'target_id': 'I97018004', 'count': 26}, {'target_id': 'I1341412227', 'count': 19}, {'target_id': 'I36258959', 'count': 12}]"
2011,I1326498283,407,"[{'target_id': 'I29607241', 'count': 23}, {'target_id': 'I1294671590', 'count': 21}, {'target_id': 'I97018004', 'count': 18}]"
2011,I31512782,386,"[{'target_id': 'I36258959', 'count': 21}, {'target_id': 'I1341412227', 'count': 16}, {'target_id': 'I204250578', 'count': 13}]"
2012,I204824540,621,"[{'target_id': 'I97018004', 'count': 51}, {'target_id': 'I4210126328', 'count': 26}, {'target_id': 'I1341412227', 'count': 23}]"
2012,I1290206253,589,"[{'target_id': 'I53964585', 'count': 43}, {'target_id': 'I1341412227', 'count': 37}, {'target_id': 'I97018004', 'count': 25}]"
2012,I19820366,445,"[{'target_id': 'I97018004', 'count': 26}, {'target_id': 'I161318765', 'count': 18}, {'target_id': 'I1341640284', 'count': 18}]"
2012,I95674353,416,"[{'target_id': 'I97018004', 'count': 41}, {'target_id': 'I1341640284', 'count': 21}, {'target_id': 'I1341412227', 'count': 20}]"
2012,I149594827,364,"[{'target_id': 'I97018004', 'count': 23}, {'target_id': 'I63966007', 'count': 11}, {'target_id': 'I1341412227', 'count': 11}]"
2013,I149594827,649,"[{'target_id': 'I97018004', 'count': 47}, {'target_id': 'I63966007', 'count': 22}, {'target_id': 'I161318765', 'count': 22}]"
2013,I97018004,478,"[{'target_id': 'I36258959', 'count': 38}, {'target_id': 'I1341412227', 'count': 36}, {'target_id': 'I53964585', 'count': 28}]"
2013,I36234482,457,"[{'target_id': 'I204337017', 'count': 34}, {'target_id': 'I97018004', 'count': 26}, {'target_id': 'I63966007', 'count': 14}]"
2013,I1290206253,434,"[{'target_id': 'I53964585', 'count': 32}, {'target_id': 'I97018004', 'count': 28}, {'target_id': 'I1341412227', 'count': 17}]"
2013,I1294671590,408,"[{'target_id': 'I1341412227', 'count': 22}, {'target_id': 'I36258959', 'count': 18}, {'target_id': 'I97018004', 'count': 13}]"
2014,I149594827,811,"[{'target_id': 'I97018004', 'count': 54}, {'target_id': 'I161318765', 'count': 27}, {'target_id': 'I63966007', 'count': 26}]"
2014,I19820366,732,"[{'target_id': 'I97018004', 'count': 35}, {'target_id': 'I36258959', 'count': 19}, {'target_id': 'I1341412227', 'count': 19}]"
2014,I174306211,484,"[{'target_id': 'I63966007', 'count': 26}, {'target_id': 'I53964585', 'count': 20}, {'target_id': 'I1341412227', 'count': 18}]"
2014,I16391192,458,"[{'target_id': 'I53964585', 'count': 46}, {'target_id': 'I1341412227', 'count': 37}, {'target_id': 'I174306211', 'count': 23}]"
2014,I1290206253,448,"[{'target_id': 'I97018004', 'count': 29}, {'target_id': 'I53964585', 'count': 25}, {'target_id': 'I1341412227', 'count': 19}]"
2015,I149594827,997,"[{'target_id': 'I97018004', 'count': 52}, {'target_id': 'I1341412227', 'count': 29}, {'target_id': 'I86519309', 'count': 27}]"
2015,I19820366,637,"[{'target_id': 'I150229711', 'count': 30}, {'target_id': 'I97018004', 'count': 30}, {'target_id': 'I151746483', 'count': 20}]"
2015,I1294671590,533,"[{'target_id': 'I97018004', 'count': 33}, {'target_id': 'I1341412227', 'count': 21}, {'target_id': 'I36258959', 'count': 19}]"
2015,I4210156404,482,"[{'target_id': 'I97018004', 'count': 24}, {'target_id': 'I150229711', 'count': 22}, {'target_id': 'I19820366', 'count': 17}]"
2015,I1326498283,466,"[{'target_id': 'I36258959', 'count': 29}, {'target_id': 'I97018004', 'count': 24}, {'target_id': 'I1341412227', 'count': 23}]"
2016,I149594827,1132,"[{'target_id': 'I97018004', 'count': 61}, {'target_id': 'I86519309', 'count': 40}, {'target_id': 'I145311948', 'count': 29}]"
2016,I1294671590,702,"[{'target_id': 'I97018004', 'count': 39}, {'target_id': 'I1326498283', 'count': 29}, {'target_id': 'I1341412227', 'count': 27}]"
2016,I4210156404,543,"[{'target_id': 'I97018004', 'count': 23}, {'target_id': 'I36258959', 'count': 20}, {'target_id': 'I1341412227', 'count': 14}]"
2016,I113428412,540,"[{'target_id': 'I97018004', 'count': 33}, {'target_id': 'I36258959', 'count': 26}, {'target_id': 'I4210126328', 'count': 20}]"
2016,I19820366,538,"[{'target_id': 'I97018004', 'count': 23}, {'target_id': 'I36258959', 'count': 18}, {'target_id': 'I53964585', 'count': 14}]"
2017,I149594827,1042,"[{'target_id': 'I97018004', 'count': 41}, {'target_id': 'I200845125', 'count': 33}, {'target_id': 'I19820366', 'count': 26}]"
2017,I1294671590,887,"[{'target_id': 'I97018004', 'count': 48}, {'target_id': 'I36258959', 'count': 36}, {'target_id': 'I2251713219', 'count': 30}]"
2017,I19820366,808,"[{'target_id': 'I97018004', 'count': 41}, {'target_id': 'I200845125', 'count': 28}, {'target_id': 'I163340411', 'count': 24}]"
2017,I4210156404,670,"[{'target_id': 'I97018004', 'count': 29}, {'target_id': 'I200845125', 'count': 28}, {'target_id': 'I19820366', 'count': 24}]"
2017,I1326498283,578,"[{'target_id': 'I36258959', 'count': 27}, {'target_id': 'I1294671590', 'count': 26}, {'target_id': 'I204337017', 'count': 23}]"
2018,I149594827,1005,"[{'target_id': 'I19820366', 'count': 31}, {'target_id': 'I97018004', 'count': 30}, {'target_id': 'I150229711', 'count': 27}]"
2018,I4210132990,827,"[{'target_id': 'I163340411', 'count': 42}, {'target_id': 'I4210136859', 'count': 40}, {'target_id': 'I149594827', 'count': 39}]"
2018,I1294671590,825,"[{'target_id': 'I97018004', 'count': 48}, {'target_id': 'I29607241', 'count': 29}, {'target_id': 'I1341412227', 'count': 29}]"
2018,I1326498283,622,"[{'target_id': 'I97018004', 'count': 43}, {'target_id': 'I29607241', 'count': 27}, {'target_id': 'I2251713219', 'count': 27}]"
2018,I4210136859,494,"[{'target_id': 'I4210132990', 'count': 43}, {'target_id': 'I149594827', 'count': 38}, {'target_id': 'I37987034', 'count': 36}]"
2019,I149594827,1406,"[{'target_id': 'I97018004', 'count': 45}, {'target_id': 'I183067930', 'count': 35}, {'target_id': 'I204824540', 'count': 35}]"
2019,I4210132990,1327,"[{'target_id': 'I149594827', 'count': 59}, {'target_id': 'I97018004', 'count': 52}, {'target_id': 'I79891267', 'count': 29}]"
2019,I150229711,1281,"[{'target_id': 'I97018004', 'count': 54}, {'target_id': 'I149594827', 'count': 40}, {'target_id': 'I19820366', 'count': 25}]"
2019,I41198531,600,"[{'target_id': 'I163340411', 'count': 26}, {'target_id': 'I149594827', 'count': 21}, {'target_id': 'I200845125', 'count': 20}]"
2019,I4210126530,558,"[{'target_id': 'I79891267', 'count': 16}, {'target_id': 'I149594827', 'count': 15}, {'target_id': 'I80947539', 'count': 15}]"
2020,I4210132990,1437,"[{'target_id': 'I149594827', 'count': 81}, {'target_id': 'I97018004', 'count': 39}, {'target_id': 'I36258959', 'count': 28}]"
2020,I149594827,1141,"[{'target_id': 'I150229711', 'count': 37}, {'target_id': 'I97018004', 'count': 30}, {'target_id': 'I19820366', 'count': 24}]"
2020,I1294671590,1039,"[{'target_id': 'I29607241', 'count': 52}, {'target_id': 'I1326498283', 'count': 51}, {'target_id': 'I97018004', 'count': 42}]"
2020,I150229711,760,"[{'target_id': 'I149594827', 'count': 25}, {'target_id': 'I101479585', 'count': 21}, {'target_id': 'I97018004', 'count': 14}]"
2020,I111753288,498,"[{'target_id': 'I163340411', 'count': 35}, {'target_id': 'I4210132990', 'count': 28}, {'target_id': 'I183067930', 'count': 17}]"
2021,I149594827,1650,"[{'target_id': 'I4210132990', 'count': 49}, {'target_id': 'I97018004', 'count': 42}, {'target_id': 'I79891267', 'count': 37}]"
2021,I150229711,1338,"[{'target_id': 'I97018004', 'count': 50}, {'target_id': 'I149594827', 'count': 47}, {'target_id': 'I204824540', 'count': 42}]"
2021,I4210132990,1149,"[{'target_id': 'I97018004', 'count': 46}, {'target_id': 'I19820366', 'count': 44}, {'target_id': 'I4210156404', 'count': 32}]"
2021,I1294671590,638,"[{'target_id': 'I174306211', 'count': 23}, {'target_id': 'I36258959', 'count': 21}, {'target_id': 'I204337017', 'count': 19}]"
2021,I37461747,541,"[{'target_id': 'I97018004', 'count': 15}, {'target_id': 'I168719708', 'count': 15}, {'target_id': 'I149594827', 'count': 10}]"
2022,I4210132990,1330,"[{'target_id': 'I149594827', 'count': 42}, {'target_id': 'I204337017', 'count': 37}, {'target_id': 'I97018004', 'count': 32}]"
2022,I149594827,990,"[{'target_id': 'I4210132990', 'count': 24}, {'target_id': 'I150229711', 'count': 23}, {'target_id': 'I106938459', 'count': 18}]"
2022,I4210087059,714,"[{'target_id': 'I1294671590', 'count': 24}, {'target_id': 'I99464096', 'count': 23}, {'target_id': 'I139264467', 'count': 23}]"
2022,I1294671590,653,"[{'target_id': 'I29607241', 'count': 19}, {'target_id': 'I204337017', 'count': 17}, {'target_id': 'I1326498283', 'count': 16}]"
2022,I150229711,530,"[{'target_id': 'I149594827', 'count': 19}, {'target_id': 'I111753288', 'count': 11}, {'target_id': 'I4210132990', 'count': 11}]"
2023,I149594827,1729,"[{'target_id': 'I4210132990', 'count': 50}, {'target_id': 'I97018004', 'count': 36}, {'target_id': 'I139759216', 'count': 28}]"
2023,I4210132990,1086,"[{'target_id': 'I149594827', 'count': 38}, {'target_id': 'I97018004', 'count': 32}, {'target_id': 'I5343935', 'count': 20}]"
2023,I150229711,679,"[{'target_id': 'I149594827', 'count': 17}, {'target_id': 'I86519309', 'count': 14}, {'target_id': 'I183067930', 'count': 13}]"
2023,I66867065,604,"[{'target_id': 'I149594827', 'count': 26}, {'target_id': 'I29607241', 'count': 17}, {'target_id': 'I86519309', 'count': 16}]"
2023,I37461747,588,"[{'target_id': 'I97018004', 'count': 15}, {'target_id': 'I150229711', 'count': 14}, {'target_id': 'I149594827', 'count': 13}]"
2024,I149594827,1051,"[{'target_id': 'I4210132990', 'count': 38}, {'target_id': 'I106938459', 'count': 29}, {'target_id': 'I111753288', 'count': 20}]"
2024,I4210132990,794,"[{'target_id': 'I97018004', 'count': 18}, {'target_id': 'I79891267', 'count': 17}, {'target_id': 'I150229711', 'count': 15}]"
2024,I139759216,522,"[{'target_id': 'I149594827', 'count': 17}, {'target_id': 'I4210132990', 'count': 14}, {'target_id': 'I204250578', 'count': 10}]"
2024,I1294671590,516,"[{'target_id': 'I1326498283', 'count': 24}, {'target_id': 'I29607241', 'count': 20}, {'target_id': 'I16391192', 'count': 15}]"
2024,I74973139,487,"[{'target_id': 'I53964585', 'count': 29}, {'target_id': 'I16391192', 'count': 23}, {'target_id': 'I174306211', 'count': 13}]"
2025,I1294671590,734,"[{'target_id': 'I1326498283', 'count': 33}, {'target_id': 'I204337017', 'count': 29}, {'target_id': 'I29607241', 'count': 26}]"
2025,I82880672,511,"[{'target_id': 'I149594827', 'count': 20}, {'target_id': 'I97018004', 'count': 15}, {'target_id': 'I4210132990', 'count': 11}]"
2025,I149594827,510,"[{'target_id': 'I97018004', 'count': 15}, {'target_id': 'I95457486', 'count': 14}, {'target_id': 'I1294671590', 'count': 11}]"
2025,I99065089,412,"[{'target_id': 'I97018004', 'count': 15}, {'target_id': 'I63966007', 'count': 12}, {'target_id': 'I16391192', 'count': 12}]"
2025,I4210156404,347,"[{'target_id': 'I139264467', 'count': 22}, {'target_id': 'I97018004', 'count': 19}, {'target_id': 'I1341412227', 'count': 8}]"
