,,source_frequency_this_year,top_3_targets
2005,I183067930,504,"[{'target_id': 'I97018004', 'count': 32}, {'target_id': 'I36258959', 'count': 22}, {'target_id': 'I121847817', 'count': 15}]"
2005,I19820366,426,"[{'target_id': 'I97018004', 'count': 30}, {'target_id': 'I1341412227', 'count': 21}, {'target_id': 'I2251713219', 'count': 16}]"
2005,I4210126328,421,"[{'target_id': 'I1341412227', 'count': 42}, {'target_id': 'I91712215', 'count': 23}, {'target_id': 'I204337017', 'count': 22}]"
2005,I219193219,402,"[{'target_id': 'I53964585', 'count': 27}, {'target_id': 'I97018004', 'count': 23}, {'target_id': 'I1341412227', 'count': 20}]"
2005,I3005327000,361,"[{'target_id': 'I97018004', 'count': 17}, {'target_id': 'I36258959', 'count': 14}, {'target_id': 'I204337017', 'count': 14}]"
2006,I204824540,657,"[{'target_id': 'I97018004', 'count': 48}, {'target_id': 'I2251713219', 'count': 27}, {'target_id': 'I63966007', 'count': 22}]"
2006,I183067930,502,"[{'target_id': 'I97018004', 'count': 37}, {'target_id': 'I53964585', 'count': 21}, {'target_id': 'I4210156583', 'count': 17}]"
2006,I63966007,455,"[{'target_id': 'I53964585', 'count': 36}, {'target_id': 'I1341412227', 'count': 30}, {'target_id': 'I97018004', 'count': 26}]"
2006,I174306211,420,"[{'target_id': 'I53964585', 'count': 46}, {'target_id': 'I1341412227', 'count': 28}, {'target_id': 'I95457486', 'count': 27}]"
2006,I19820366,283,"[{'target_id': 'I97018004', 'count': 23}, {'target_id': 'I36258959', 'count': 11}, {'target_id': 'I204824540', 'count': 10}]"
2007,I183067930,667,"[{'target_id': 'I97018004', 'count': 46}, {'target_id': 'I1341412227', 'count': 26}, {'target_id': 'I184558857', 'count': 22}]"
2007,I204824540,514,"[{'target_id': 'I97018004', 'count': 37}, {'target_id': 'I2251713219', 'count': 22}, {'target_id': 'I184558857', 'count': 20}]"
2007,I1341412227,367,"[{'target_id': 'I63966007', 'count': 30}, {'target_id': 'I174306211', 'count': 19}, {'target_id': 'I53964585', 'count': 18}]"
2007,I130701444,344,"[{'target_id': 'I36258959', 'count': 29}, {'target_id': 'I97018004', 'count': 19}, {'target_id': 'I53964585', 'count': 19}]"
2007,I53964585,340,"[{'target_id': 'I63966007', 'count': 45}, {'target_id': 'I95457486', 'count': 29}, {'target_id': 'I174306211', 'count': 23}]"
2008,I183067930,341,"[{'target_id': 'I97018004', 'count': 50}, {'target_id': 'I1341412227', 'count': 22}, {'target_id': 'I4210156583', 'count': 17}]"
