,0,1
I861853513,-146,22
I78577930,113,67
I887064364,27,-36
I97018004,375,271
I121797337,-71,-32
I136199984,168,70
I173304897,54,3
I74973139,288,-44
I52357470,19,-1
I108290504,7,-17
I170201317,15,-6
I63966007,215,-142
I130769515,40,-96
I165143802,-20,-65
I166337079,213,4
I4210108754,-569,-27
I9842412,-36,-9
I74801974,-21,-10
I172675005,132,-73
I33213144,70,-68
I36258959,229,-32
I126520041,-244,-360
I205783295,503,936
I98677209,-4,-17
I31746571,62,-9
I135310074,-32,7
I183067930,171,-149
I96673099,-91,-33
I29770179,35,-18
I1308548392,525,965
I205237279,-108,0
I5124864,88,3
I201537933,-121,-101
I197251160,-75,1
I39804081,17,-11
I113940042,-43,-54
I141568987,-125,-88
I111753288,-106,-28
I200769079,22,-21
I55952717,223,-18
I1294671590,232,-121
I40963666,-3,-16
I149704539,9,-6
I150229711,406,-69
I66946132,92,-48
I98285908,3,-36
I142263535,-7,6
I35928602,-32,-23
I71999127,236,8
I143804889,-47,-10
I108403487,-44,-96
I19370010,-18,-37
I126596746,-79,-1
I24354313,-57,-34
I51556381,0,-19
I66867065,67,-45
I106165777,-57,-11
I90267481,103,34
I139264467,17,-85
I135140700,-83,-47
I99542240,-35,-23
I193531525,-59,-60
I182534213,-73,377
I153976015,-50,17
I40120149,197,-40
I146399215,-13,-11
I27357992,-191,-202
I16391192,13,14
I21370196,-88,-54
I4210119109,201,-128
I19820366,178,-78
I17974374,76,-71
I189158943,-90,-10
I98358874,46,-19
I141945490,58,0
I133731052,-5,3
I90610280,-95,-9
I76130692,-177,-104
I881766915,60,0
I169381384,78,-12
I243754102,-5,-9
I42934936,-65,-6
I255234318,13,-56
I47720641,13,-15
I99041443,-102,-19
I1174212,64,-31
I146655781,-86,-42
I157725225,77,63
I13955877,182,154
I122411786,9,-125
I99065089,310,-111
I7882870,-3,2
I277688954,-20,13
I154570441,82,1
I193662353,10,-5
I204337017,-16,-8
I16835326,-77,-2
I859038795,23,2
I114017466,21,-15
I39555362,11,-92
I4210159731,-9,-6
I241749,23,-53
I4210125404,-1,-136
I37461747,-129,-58
I129774422,-111,-2
I114531698,54,2
I28407311,-114,12
I157773358,-21,-4
I204722609,-34,-3
I76214153,-231,-172
I138689650,-102,-56
I27837315,821,443
I25254941,-639,-97
I157485424,-76,-12
I106118109,-67,-85
I78978612,3,-43
I55732556,115,-60
I177725633,17,-21
