,0
"(2005, ('I51158804', 'I141597827'))",27.0
"(2005, ('I4210108471', 'I1294671590'))",22.0
"(2005, ('I2799300731', 'I3018370718'))",20.0
"(2005, ('I1312222531', 'I4210147002'))",20.0
"(2005, ('I913481162', 'I130828816'))",16.0
"(2006, ('I141597827', 'I51158804'))",29.0
"(2006, ('I4210163498', 'I913481162'))",16.0
"(2006, ('I53241121', 'I24354313'))",13.0
"(2006, ('I913481162', 'I137902535'))",11.0
"(2006, ('I4210108471', 'I1294671590'))",11.0
"(2007, ('I1294671590', 'I4210108471'))",26.0
"(2007, ('I913481162', 'I4210163498'))",24.0
"(2007, ('I1294671590', 'I2802964274'))",17.0
"(2007, ('I2802964274', 'I4210108471'))",17.0
"(2007, ('I79238269', 'I53241121'))",12.0
"(2008, ('I1294671590', 'I4210108471'))",38.0
"(2008, ('I149899117', 'I4210092306'))",33.0
"(2008, ('I1294671590', 'I2802964274'))",33.0
"(2008, ('I2802964274', 'I4210108471'))",33.0
"(2008, ('I3018370718', 'I2799300731'))",23.0
"(2009, ('I53241121', 'I24354313'))",32.0
"(2009, ('I3018370718', 'I2799300731'))",23.0
"(2009, ('I51158804', 'I141597827'))",19.0
"(2009, ('I51158804', 'I4210159946'))",18.0
"(2009, ('I24603500', 'I43406934'))",13.0
"(2010, ('I24603500', 'I130828816'))",31.0
"(2010, ('I1294671590', 'I4210108471'))",25.0
"(2010, ('I24603500', 'I51158804'))",23.0
"(2010, ('I151201029', 'I4210157909'))",22.0
"(2010, ('I2802964274', 'I4210108471'))",22.0
"(2011, ('I1294671590', 'I4210108471'))",39.0
"(2011, ('I24603500', 'I51158804'))",36.0
"(2011, ('I4210159946', 'I51158804'))",33.0
"(2011, ('I24354313', 'I53241121'))",31.0
"(2011, ('I3018370718', 'I2799300731'))",29.0
"(2012, ('I4210159946', 'I51158804'))",40.0
"(2012, ('I4210108471', 'I1294671590'))",27.0
"(2012, ('I24603500', 'I51158804'))",26.0
"(2012, ('I1294671590', 'I24603500'))",24.0
"(2012, ('I53241121', 'I24354313'))",21.0
"(2013, ('I51158804', 'I4210159946'))",64.0
"(2013, ('I24603500', 'I51158804'))",39.0
"(2013, ('I4210092306', 'I149899117'))",39.0
"(2013, ('I4210108471', 'I1294671590'))",31.0
"(2013, ('I24354313', 'I53241121'))",27.0
"(2014, ('I111599522', 'I4210152154'))",71.0
"(2014, ('I4210159946', 'I51158804'))",45.0
"(2014, ('I4210132287', 'I2800285241'))",39.0
"(2014, ('I24603500', 'I51158804'))",32.0
"(2014, ('I4210108471', 'I1294671590'))",30.0
"(2015, ('I111599522', 'I4210152154'))",76.0
"(2015, ('I4210109520', 'I913481162'))",58.0
"(2015, ('I4210159946', 'I51158804'))",47.0
"(2015, ('I2800285241', 'I4210132287'))",46.0
"(2015, ('I24603500', 'I913481162'))",43.0
"(2016, ('I24603500', 'I4210152154'))",76.0
"(2016, ('I4210159946', 'I51158804'))",59.0
"(2016, ('I111599522', 'I4210152154'))",56.0
"(2016, ('I4210108471', 'I1294671590'))",46.0
"(2016, ('I4210109520', 'I913481162'))",45.0
"(2017, ('I4210152154', 'I111599522'))",74.0
"(2017, ('I141649914', 'I4210152154'))",47.0
"(2017, ('I24603500', 'I130828816'))",44.0
"(2017, ('I24603500', 'I4210152154'))",40.0
"(2017, ('I24603500', 'I52158045'))",39.0
"(2018, ('I111599522', 'I4210152154'))",160.0
"(2018, ('I4210152154', 'I141649914'))",75.0
"(2018, ('I24603500', 'I111599522'))",41.0
"(2018, ('I27577105', 'I141766778'))",36.0
"(2018, ('I1294671590', 'I4210108471'))",31.0
"(2019, ('I111599522', 'I4210152154'))",166.0
"(2019, ('I4210152154', 'I141649914'))",120.0
"(2019, ('I4210108471', 'I1294671590'))",49.0
"(2019, ('I4210109520', 'I913481162'))",40.0
"(2019, ('I4210152154', 'I204823248'))",39.0
"(2020, ('I141649914', 'I4210152154'))",138.0
"(2020, ('I4210152154', 'I111599522'))",117.0
"(2020, ('I4210159946', 'I51158804'))",79.0
"(2020, ('I4210151987', 'I44675526'))",49.0
"(2020, ('I4210109520', 'I913481162'))",38.0
"(2021, ('I4210152154', 'I111599522'))",243.0
"(2021, ('I51158804', 'I4210159946'))",156.0
"(2021, ('I141649914', 'I4210152154'))",151.0
"(2021, ('I4210109520', 'I913481162'))",102.0
"(2021, ('I169572211', 'I4210152154'))",57.0
"(2022, ('I111599522', 'I4210152154'))",270.0
"(2022, ('I4210152154', 'I141649914'))",127.0
"(2022, ('I169572211', 'I4210152154'))",80.0
"(2022, ('I4210152154', 'I204823248'))",61.0
"(2022, ('I4210109520', 'I913481162'))",57.0
"(2023, ('I4210152154', 'I111599522'))",304.0
"(2023, ('I141649914', 'I4210152154'))",140.0
"(2023, ('I169572211', 'I4210152154'))",113.0
"(2023, ('I169572211', 'I141649914'))",72.0
"(2023, ('I44675526', 'I4210151987'))",65.0
"(2024, ('I4210152154', 'I111599522'))",282.0
"(2024, ('I141649914', 'I4210152154'))",142.0
"(2024, ('I169572211', 'I4210152154'))",134.0
"(2024, ('I169572211', 'I111599522'))",86.0
"(2024, ('I169572211', 'I115592961'))",76.0
"(2025, ('I4210152154', 'I169572211'))",146.0
"(2025, ('I141649914', 'I4210152154'))",131.0
"(2025, ('I4210152154', 'I111599522'))",128.0
"(2025, ('I169572211', 'I111599522'))",84.0
"(2025, ('I4210159946', 'I51158804'))",82.0
