,,source_frequency_this_year,top_3_targets
2010,I130828816,662,"[{'target_id': 'I24603500', 'count': 53}, {'target_id': 'I913481162', 'count': 30}, {'target_id': 'I51158804', 'count': 26}]"
2010,I79817857,650,"[{'target_id': 'I4210086792', 'count': 36}, {'target_id': 'I51158804', 'count': 24}, {'target_id': 'I913481162', 'count': 20}]"
2010,I1331897569,558,"[{'target_id': 'I24603500', 'count': 25}, {'target_id': 'I43406934', 'count': 12}, {'target_id': 'I5023651', 'count': 11}]"
2010,I913481162,486,"[{'target_id': 'I1294671590', 'count': 14}, {'target_id': 'I55769427', 'count': 14}, {'target_id': 'I4210163498', 'count': 11}]"
2011,I24603500,996,"[{'target_id': 'I51158804', 'count': 37}, {'target_id': 'I56590836', 'count': 22}, {'target_id': 'I1294671590', 'count': 19}]"
2011,I4210132287,946,"[{'target_id': 'I913481162', 'count': 41}, {'target_id': 'I2800285241', 'count': 36}, {'target_id': 'I79817857', 'count': 32}]"
2011,I90610280,908,"[{'target_id': 'I130828816', 'count': 52}, {'target_id': 'I913481162', 'count': 41}, {'target_id': 'I24603500', 'count': 33}]"
2011,I51158804,718,"[{'target_id': 'I913481162', 'count': 42}, {'target_id': 'I24603500', 'count': 36}, {'target_id': 'I4210159946', 'count': 33}]"
2011,I79817857,601,"[{'target_id': 'I913481162', 'count': 32}, {'target_id': 'I51158804', 'count': 30}, {'target_id': 'I4210086792', 'count': 25}]"
2012,I24603500,1015,"[{'target_id': 'I913481162', 'count': 33}, {'target_id': 'I1294671590', 'count': 33}, {'target_id': 'I51158804', 'count': 29}]"
2012,I51158804,953,"[{'target_id': 'I913481162', 'count': 43}, {'target_id': 'I4210159946', 'count': 40}, {'target_id': 'I24603500', 'count': 26}]"
2012,I4210159946,929,"[{'target_id': 'I51158804', 'count': 69}, {'target_id': 'I913481162', 'count': 65}, {'target_id': 'I24603500', 'count': 32}]"
2012,I4210152154,747,"[{'target_id': 'I111599522', 'count': 23}, {'target_id': 'I90610280', 'count': 22}, {'target_id': 'I51158804', 'count': 17}]"
2012,I79817857,692,"[{'target_id': 'I4210086792', 'count': 23}, {'target_id': 'I51158804', 'count': 21}, {'target_id': 'I135310074', 'count': 20}]"
2013,I24603500,1829,"[{'target_id': 'I1294671590', 'count': 49}, {'target_id': 'I130828816', 'count': 47}, {'target_id': 'I913481162', 'count': 40}]"
2013,I51158804,1016,"[{'target_id': 'I4210159946', 'count': 64}, {'target_id': 'I130828816', 'count': 53}, {'target_id': 'I24603500', 'count': 44}]"
2013,I35440088,947,"[{'target_id': 'I913481162', 'count': 51}, {'target_id': 'I130828816', 'count': 41}, {'target_id': 'I4210112383', 'count': 22}]"
2013,I913481162,851,"[{'target_id': 'I130828816', 'count': 37}, {'target_id': 'I137902535', 'count': 26}, {'target_id': 'I24603500', 'count': 26}]"
2013,I110079840,824,"[{'target_id': 'I24603500', 'count': 153}, {'target_id': 'I130828816', 'count': 23}, {'target_id': 'I913481162', 'count': 18}]"
2014,I111599522,1748,"[{'target_id': 'I24603500', 'count': 97}, {'target_id': 'I4210152154', 'count': 75}, {'target_id': 'I90610280', 'count': 53}]"
2014,I4210152154,1611,"[{'target_id': 'I111599522', 'count': 71}, {'target_id': 'I24603500', 'count': 57}, {'target_id': 'I90610280', 'count': 51}]"
2014,I24603500,1495,"[{'target_id': 'I51158804', 'count': 36}, {'target_id': 'I56590836', 'count': 29}, {'target_id': 'I1294671590', 'count': 28}]"
2014,I51158804,1337,"[{'target_id': 'I4210159946', 'count': 45}, {'target_id': 'I141597827', 'count': 40}, {'target_id': 'I130828816', 'count': 33}]"
